"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",6,17,26,22,1,22,3,22,8,6
"2",16,4,6,14,9,20,20,21,17,25
"3",7,19,5,15,26,4,23,4,27,7
"4",27,13,7,21,14,5,5,9,6,18
"5",2,12,15,12,18,8,15,23,23,4
"6",3,27,8,4,3,25,17,10,20,14
"7",24,11,19,6,6,28,7,17,28,1
"8",22,28,21,13,19,17,1,6,16,5
"9",25,21,2,16,22,24,11,19,11,12
"10",18,9,10,28,28,2,2,20,21,22
"11",15,26,11,25,23,11,19,16,5,2
"12",8,15,12,7,20,21,9,7,2,24
"13",17,22,16,3,8,7,8,1,9,11
"14",19,23,27,23,17,19,13,12,26,23
"15",23,18,14,10,2,10,25,14,13,21
"16",26,5,13,24,12,23,27,2,24,10
"17",21,2,28,5,21,6,24,24,1,15
"18",11,10,3,1,16,18,26,11,10,3
"19",20,8,9,18,4,16,14,27,3,8
"20",5,3,17,19,24,15,6,13,18,16
"21",14,7,22,11,27,26,16,3,7,20
"22",10,6,25,8,13,3,12,15,15,9
"23",9,20,18,27,15,27,22,26,14,17
"24",1,1,1,26,5,9,10,5,12,28
"25",12,25,4,9,11,13,4,25,25,19
"26",13,14,23,20,7,12,21,8,22,13
"27",28,16,24,2,25,14,18,28,19,27
"28",4,24,20,17,10,1,28,18,4,26
