"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"1",22,6,12,6,26,7,17,24,9,11,23,16,12,19,22,5,6,23,8
"2",18,20,8,20,20,24,12,20,8,6,7,7,6,17,7,24,12,25,21
"3",9,7,9,8,4,18,11,26,21,3,4,5,24,13,14,6,22,9,13
"4",5,16,4,12,6,4,2,5,10,18,14,11,5,22,9,7,10,1,11
"5",26,22,13,11,18,11,19,4,27,13,27,6,9,3,13,25,25,7,10
"6",20,8,17,23,11,25,9,6,11,24,24,9,23,11,23,21,4,4,15
"7",7,11,23,13,7,23,18,21,5,20,25,27,10,5,4,11,23,21,16
"8",17,27,21,7,10,13,6,15,7,4,18,21,3,4,16,2,2,11,23
"9",27,10,25,26,14,2,1,27,17,8,8,26,15,8,12,27,9,16,12
"10",2,5,19,4,25,26,25,11,16,9,10,12,11,7,10,15,16,3,25
"11",16,21,22,25,2,3,20,22,13,12,17,4,17,25,28,12,19,6,22
"12",19,14,7,22,21,9,23,16,6,19,6,22,22,6,17,8,20,2,3
"13",14,28,10,9,1,28,26,1,14,28,20,28,16,15,15,28,14,28,1
"14",11,13,16,19,5,8,22,3,26,1,2,18,7,10,25,13,8,22,26
"15",21,9,2,1,3,10,8,12,24,16,16,17,20,1,2,23,17,24,20
"16",4,15,24,21,17,27,7,13,28,5,26,14,19,26,19,3,18,26,7
"17",24,18,26,17,27,19,14,2,22,17,21,23,25,18,8,9,11,10,24
"18",3,19,11,15,28,16,3,25,3,22,15,15,18,9,26,26,28,13,27
"19",1,26,6,24,9,12,21,19,18,10,22,13,27,12,6,16,1,19,6
"20",6,25,18,5,19,5,10,7,12,14,5,25,26,20,20,20,24,20,18
"21",23,4,5,16,8,21,13,9,15,7,12,24,8,27,27,17,26,12,4
"22",28,1,14,14,13,1,16,14,2,27,1,8,28,28,5,1,15,15,28
"23",8,24,3,27,23,20,15,10,20,26,11,1,13,2,21,4,7,17,17
"24",15,23,15,3,15,22,4,23,25,21,3,20,14,24,3,14,5,5,5
"25",13,3,20,18,24,6,5,17,23,23,19,3,4,14,11,18,21,18,2
"26",25,17,28,2,12,15,27,18,19,25,9,10,1,16,24,10,27,27,14
"27",10,2,1,28,16,17,28,28,1,15,28,19,2,21,18,19,13,8,19
"28",12,12,27,10,22,14,24,8,4,2,13,2,21,23,1,22,3,14,9
