"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1",11,18,12,23,9,13,14,11,25,15,8,26,6,22,4
"2",8,4,5,11,24,18,3,9,3,11,11,13,18,26,7
"3",28,28,28,16,13,17,2,15,28,28,12,1,8,13,28
"4",10,12,3,15,26,12,16,16,23,2,3,8,27,4,26
"5",14,16,10,2,18,25,8,2,24,25,28,7,15,23,18
"6",6,23,21,9,7,20,18,5,16,21,9,16,23,16,24
"7",5,17,17,5,16,10,25,10,8,8,13,6,7,7,17
"8",27,21,1,4,3,2,23,12,27,12,26,17,19,10,6
"9",2,1,7,19,20,28,24,14,14,18,24,21,3,20,27
"10",16,14,26,10,5,26,21,18,20,3,18,11,5,27,9
"11",15,25,4,27,11,15,20,26,7,9,21,3,22,24,22
"12",22,19,20,20,15,22,9,13,6,17,23,10,26,2,5
"13",3,6,11,18,10,3,10,4,19,5,19,2,24,12,10
"14",20,11,19,14,2,11,4,7,9,6,25,24,13,21,25
"15",1,15,27,1,19,7,11,28,5,1,6,22,20,19,2
"16",9,7,24,12,12,14,15,25,1,24,27,18,1,9,12
"17",4,13,2,24,4,24,6,20,11,23,14,23,16,6,14
"18",24,9,25,25,22,9,26,8,22,22,15,19,25,25,15
"19",13,2,23,28,1,21,28,1,15,14,1,5,11,5,1
"20",23,8,8,3,8,8,7,27,17,16,10,14,4,1,23
"21",17,24,6,13,23,6,19,3,10,27,17,25,9,3,8
"22",26,10,13,7,27,16,17,21,12,20,20,4,12,18,3
"23",12,27,16,6,14,1,1,19,13,19,2,28,28,28,13
"24",19,5,15,21,6,4,22,17,4,26,5,9,17,17,20
"25",18,3,18,8,21,23,13,22,26,10,16,27,21,8,21
"26",25,26,14,26,28,27,12,6,2,4,7,15,2,11,16
"27",7,22,22,22,25,5,5,23,21,13,22,12,10,15,19
"28",21,20,9,17,17,19,27,24,18,7,4,20,14,14,11
