"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",4,3,1,1,1,6,3,3
"2",6,1,1,3,4,3,3,2
"3",5,3,5,2,4,1,2,6
"4",3,1,4,5,2,6,2,6
"5",3,1,2,2,5,5,1,4
"6",2,5,3,1,2,2,3,6
"7",6,5,6,4,6,2,3,4
"8",5,4,4,1,5,4,2,1
"9",1,3,2,4,2,4,6,1
"10",5,2,3,5,6,6,5,2
"11",4,6,4,2,2,1,5,1
"12",4,6,2,3,6,4,4,6
"13",2,4,6,3,3,6,1,2
"14",3,5,1,2,5,2,6,2
"15",6,5,5,6,2,5,4,3
"16",5,4,2,6,1,3,5,5
"17",5,6,1,5,3,4,1,4
"18",2,2,1,4,3,1,4,5
"19",2,5,3,6,4,5,3,1
"20",1,2,6,2,1,4,4,4
"21",1,4,2,5,6,1,2,3
"22",4,4,6,4,5,5,6,6
"23",2,1,5,1,6,3,5,3
"24",1,6,4,3,4,6,5,5
"25",4,1,6,5,3,2,4,1
"26",6,3,3,1,3,5,6,5
"27",1,3,5,6,5,3,1,5
"28",3,6,5,4,1,3,2,2
"29",6,2,3,3,1,2,1,3
"30",3,2,4,6,4,1,6,4
