"","V1","V2","V3","V4","V5","V6"
"1",2,5,1,2,4,4
"2",6,5,5,3,5,2
"3",3,1,6,1,1,4
"4",1,4,1,3,1,2
"5",5,3,5,4,1,3
"6",2,5,4,6,6,3
"7",2,2,2,5,3,3
"8",3,6,6,5,4,1
"9",6,1,4,3,4,6
"10",1,3,3,6,4,5
"11",3,3,2,5,1,6
"12",3,3,2,1,6,1
"13",5,2,5,5,6,5
"14",4,3,6,2,5,3
"15",6,4,2,4,5,4
"16",1,2,6,4,3,2
"17",4,6,1,4,6,6
"18",6,2,1,2,2,5
"19",4,1,1,6,5,2
"20",5,4,6,6,3,6
"21",4,6,4,6,1,4
"22",1,6,5,2,2,5
"23",3,5,3,3,3,5
"24",2,4,5,1,5,6
"25",6,5,3,5,2,1
"26",2,1,4,4,2,1
"27",1,1,3,3,6,4
"28",4,4,4,1,2,2
"29",5,2,3,2,4,1
"30",5,6,2,1,3,3
