"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1",3,4,3,1,3,1,1,4,2,2,4,2,2
"2",3,1,1,1,4,3,4,3,2,4,1,2,2
"3",4,2,4,1,4,3,2,2,4,1,2,4,3
"4",4,3,3,4,4,2,3,2,3,4,4,3,1
"5",4,1,2,2,1,2,2,2,1,2,2,1,1
"6",1,2,1,2,2,1,4,1,3,1,4,3,2
"7",3,4,2,4,2,1,3,2,4,1,1,1,3
"8",2,1,2,1,2,1,2,3,3,4,3,4,4
"9",3,4,2,3,4,3,4,1,1,2,3,4,4
"10",1,1,3,4,3,2,1,1,2,2,1,2,4
"11",1,2,4,3,3,1,3,3,1,3,2,4,1
"12",2,3,1,4,1,3,2,4,2,1,2,4,2
"13",2,3,4,2,3,4,3,3,2,1,4,1,4
"14",4,3,4,2,1,2,4,4,3,3,1,3,4
"15",2,1,3,3,2,4,4,4,4,2,3,2,1
"16",1,4,3,1,1,4,3,2,1,4,2,2,3
"17",4,2,1,4,2,4,1,3,1,3,4,3,3
"18",2,4,2,2,3,4,1,1,4,3,1,3,1
"19",3,2,4,3,1,3,1,1,3,4,3,1,2
"20",1,3,1,3,4,2,2,4,4,3,3,1,3
