"","V1","V2","V3"
"1",3,3,3
"2",1,1,3
"3",1,1,2
"4",2,2,2
"5",3,2,2
"6",3,3,1
"7",3,1,1
"8",1,2,3
"9",1,2,3
"10",2,1,2
"11",3,3,1
"12",1,2,2
"13",3,2,1
"14",1,3,3
"15",2,3,2
"16",3,2,1
"17",3,3,2
"18",2,1,3
"19",1,1,1
"20",1,3,2
"21",2,3,1
"22",3,2,3
"23",1,1,3
"24",1,2,1
"25",1,1,1
"26",2,1,2
"27",2,3,2
"28",2,3,3
"29",3,1,3
"30",2,2,1
"31",1,3,1
"32",1,3,1
"33",2,2,3
"34",2,2,3
"35",2,1,1
"36",2,1,1
"37",3,1,2
"38",3,1,3
"39",3,2,2
"40",2,2,1
"41",3,3,3
"42",2,3,3
"43",3,1,2
"44",1,2,2
"45",1,3,2
