"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",1,2,1,2,1,3,2,3,2,1
"2",2,3,1,3,2,1,2,1,1,1
"3",1,3,3,1,2,2,3,3,1,1
"4",2,2,3,2,3,2,3,1,1,2
"5",2,3,3,2,2,3,1,2,2,1
"6",2,3,2,1,3,3,2,1,1,3
"7",1,2,3,3,1,1,3,3,3,2
"8",3,3,3,1,1,2,2,1,3,3
"9",3,2,3,3,3,1,1,2,1,3
"10",3,2,3,3,3,3,2,3,3,1
"11",2,3,1,3,3,2,3,3,3,3
"12",2,1,3,2,2,1,1,2,3,1
"13",2,1,1,2,3,3,3,3,2,2
"14",2,2,2,1,2,2,3,2,3,3
"15",2,2,1,1,2,3,3,1,3,1
"16",3,3,2,1,1,3,3,2,2,2
"17",3,3,1,1,2,1,1,3,3,2
"18",3,2,1,2,1,3,1,1,1,3
"19",1,3,2,2,2,1,2,2,3,2
"20",1,1,2,3,3,2,2,3,1,2
"21",2,2,3,1,3,1,2,3,2,3
"22",1,1,3,2,2,2,1,1,1,2
"23",3,3,2,2,3,1,3,2,2,1
"24",1,2,1,1,1,2,2,2,1,2
"25",1,3,1,2,1,1,3,2,1,3
"26",2,1,1,3,1,1,3,1,2,2
"27",1,1,1,2,3,1,2,1,3,3
"28",1,1,2,1,2,3,1,3,2,3
"29",3,1,2,3,2,2,3,1,2,1
"30",1,2,3,3,2,3,3,1,2,3
"31",1,1,3,1,3,3,3,2,3,2
"32",3,1,2,2,2,1,3,3,1,3
"33",3,1,1,2,1,2,2,3,3,1
"34",3,2,2,2,3,2,1,1,3,2
"35",1,2,2,1,3,1,1,1,2,1
"36",3,3,2,3,2,3,2,3,1,2
"37",2,1,3,3,1,3,2,2,1,1
"38",1,3,2,3,1,2,1,1,3,1
"39",2,3,3,2,1,2,1,3,2,3
"40",1,3,1,3,3,3,1,2,2,2
"41",3,1,1,1,3,2,1,2,1,1
"42",3,1,3,1,1,1,2,1,2,2
"43",2,1,2,3,1,3,1,2,3,3
"44",3,2,1,3,2,2,2,2,2,3
"45",2,2,2,1,1,1,1,3,1,1
