"","V1","V2","V3","V4"
"1",9,29,11,16
"2",27,1,17,8
"3",10,2,24,24
"4",8,20,20,1
"5",14,13,8,7
"6",16,6,21,10
"7",12,18,1,21
"8",11,9,15,5
"9",19,19,16,14
"10",2,27,18,28
"11",13,26,27,12
"12",4,7,13,20
"13",15,23,14,25
"14",1,17,9,11
"15",21,12,19,22
"16",22,24,25,6
"17",18,16,28,27
"18",5,22,5,9
"19",6,14,23,15
"20",24,8,2,13
"21",26,15,12,2
"22",23,5,10,29
"23",7,11,4,26
"24",17,3,6,18
"25",29,10,26,17
"26",25,21,22,19
"27",28,25,7,23
"28",20,28,3,4
"29",3,4,29,3
