"","V1","V2","V3","V4","V5"
"1",20,28,11,29,10
"2",21,11,4,15,21
"3",26,19,2,21,13
"4",24,23,21,25,4
"5",11,12,17,27,6
"6",6,6,20,22,29
"7",3,3,6,26,19
"8",10,14,25,12,26
"9",8,18,14,1,20
"10",18,17,8,24,25
"11",29,13,7,5,8
"12",15,9,12,20,17
"13",7,27,5,18,2
"14",19,20,26,16,7
"15",12,25,29,23,16
"16",5,21,16,14,14
"17",9,5,1,10,9
"18",16,22,3,3,28
"19",17,7,19,7,12
"20",28,8,27,28,23
"21",25,4,15,17,27
"22",4,10,28,4,3
"23",27,26,18,11,18
"24",1,15,23,19,11
"25",23,16,13,9,1
"26",2,24,10,8,24
"27",22,2,24,2,15
"28",14,29,22,6,22
"29",13,1,9,13,5
