"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",7,12,17,2,24,20,15,12,22,16,18,11
"2",29,16,3,6,15,28,27,19,4,5,19,12
"3",25,8,11,21,22,10,8,17,13,4,22,4
"4",8,15,4,25,18,8,10,4,2,12,28,24
"5",17,27,7,4,12,9,19,7,17,9,4,7
"6",24,25,1,27,23,18,24,10,15,27,13,19
"7",16,26,25,22,1,27,13,20,16,15,21,25
"8",14,18,9,9,14,5,3,16,23,28,17,27
"9",12,20,5,14,28,16,18,24,7,21,24,2
"10",1,11,8,20,7,23,20,13,10,22,7,28
"11",2,28,26,15,27,1,6,9,24,6,25,15
"12",13,5,20,10,10,19,25,15,11,8,27,20
"13",11,7,29,28,9,26,17,5,27,1,16,3
"14",18,13,15,29,29,13,29,25,25,7,8,26
"15",10,9,2,5,5,2,7,28,14,17,10,18
"16",6,21,12,12,20,25,22,29,19,2,1,23
"17",22,2,6,16,16,21,11,22,26,11,12,16
"18",19,17,23,11,19,24,9,3,12,24,9,8
"19",4,22,21,26,11,15,4,23,9,10,14,10
"20",21,29,16,1,6,22,5,26,1,29,29,6
"21",26,1,22,3,25,4,23,1,8,14,15,29
"22",15,4,13,23,26,29,2,8,6,19,3,14
"23",3,6,27,7,21,11,14,21,3,26,5,21
"24",27,14,28,13,3,17,1,14,20,13,2,1
"25",23,10,24,24,13,7,21,27,21,23,26,13
"26",5,3,10,17,2,12,28,2,18,25,20,9
"27",20,19,18,18,4,6,16,11,5,3,11,17
"28",28,23,14,8,8,14,12,6,28,20,23,22
"29",9,24,19,19,17,3,26,18,29,18,6,5
