"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",11,5,12,5,13,3,2,5,18,6
"2",5,6,7,13,19,6,7,1,9,15
"3",19,19,8,6,8,19,6,9,7,7
"4",2,4,9,16,7,4,12,16,6,5
"5",8,16,3,8,10,2,17,4,3,13
"6",1,12,13,9,12,10,1,11,1,19
"7",7,1,17,12,9,18,5,15,14,14
"8",6,11,18,1,5,14,10,2,10,2
"9",16,2,14,11,16,12,15,7,2,3
"10",15,13,6,10,2,5,8,14,16,1
"11",3,9,5,4,17,16,16,13,17,8
"12",10,7,11,7,1,13,19,19,8,16
"13",12,8,4,18,3,15,3,6,4,10
"14",14,14,10,17,14,17,13,3,15,17
"15",4,18,15,14,4,8,14,8,19,11
"16",18,10,19,19,11,1,18,12,11,9
"17",17,3,1,2,6,9,11,10,13,18
"18",13,15,16,3,18,7,9,17,5,12
"19",9,17,2,15,15,11,4,18,12,4
