"","V1","V2","V3","V4","V5","V6","V7"
"1",4,4,4,4,2,3,2
"2",2,3,1,1,4,3,1
"3",4,2,4,4,4,2,4
"4",1,4,3,2,4,4,4
"5",1,3,4,1,2,1,3
"6",3,2,3,3,1,4,3
"7",1,3,3,4,1,2,2
"8",3,2,1,3,4,3,4
"9",4,4,2,1,4,1,2
"10",1,2,2,4,3,3,3
"11",2,1,4,2,1,3,4
"12",1,4,4,3,3,2,1
"13",2,2,3,1,3,4,3
"14",4,1,1,1,2,4,4
"15",2,1,2,1,3,1,4
"16",4,1,3,2,4,1,3
"17",4,4,1,4,3,4,3
"18",4,2,4,1,1,2,1
"19",2,3,2,4,2,4,4
"20",1,3,1,3,3,1,4
"21",1,1,1,2,4,2,2
"22",3,3,1,1,2,2,3
"23",1,4,2,1,1,3,3
"24",1,1,4,3,3,4,2
"25",2,1,1,4,1,2,3
"26",3,1,2,4,4,4,1
"27",1,1,3,4,2,3,1
"28",2,4,2,3,4,2,3
"29",2,4,3,2,2,1,2
"30",3,4,4,1,3,3,4
"31",3,1,4,3,2,1,3
"32",4,3,3,3,4,3,3
"33",3,3,1,2,3,3,2
"34",3,4,3,4,1,1,4
"35",3,3,4,2,1,4,2
"36",3,4,2,2,2,2,1
"37",1,2,2,1,2,4,2
"38",2,2,3,3,2,2,4
"39",2,2,4,2,4,3,2
"40",4,1,2,3,1,3,2
"41",4,3,2,2,1,2,4
"42",4,3,3,2,3,4,1
"43",4,2,2,3,2,1,1
"44",3,1,3,1,3,2,1
"45",1,2,1,2,1,1,1
"46",2,4,1,3,1,4,1
"47",2,3,4,4,4,1,1
"48",3,2,1,4,3,1,2
