"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1",1,2,3,3,1,2,1,2,2,1,2,3,1
"2",2,2,1,1,3,1,3,2,3,2,3,3,2
"3",1,1,2,2,2,1,2,3,3,1,3,3,3
"4",3,1,3,1,3,3,1,3,2,1,2,2,2
"5",1,2,1,2,1,3,2,1,3,3,1,3,2
"6",3,1,3,2,3,2,2,1,1,3,3,3,2
"7",1,3,3,3,1,1,2,2,1,3,2,2,3
"8",2,1,3,2,2,3,2,1,2,1,1,1,3
"9",2,1,2,1,3,1,2,3,1,2,2,1,3
"10",1,3,2,3,3,1,3,2,2,1,2,1,1
"11",3,3,3,3,2,1,3,3,2,2,1,3,2
"12",3,2,2,1,1,2,1,1,3,3,2,1,2
"13",1,3,3,1,2,1,1,1,2,2,3,1,2
"14",2,3,2,2,1,3,1,2,1,3,1,1,1
"15",3,1,3,2,2,1,1,2,3,3,3,2,1
"16",2,1,2,3,1,3,3,3,3,3,2,1,2
"17",2,2,2,3,2,1,3,1,2,3,3,2,3
"18",2,2,3,2,1,2,3,3,1,1,3,1,1
"19",1,1,1,3,2,3,1,2,1,2,3,1,2
"20",1,1,1,1,1,2,2,1,2,1,3,2,1
"21",3,2,1,1,2,1,2,3,2,3,1,1,1
"22",2,3,1,1,2,2,1,1,1,1,2,3,3
"23",2,3,3,1,2,3,3,2,3,3,2,2,3
"24",1,1,2,3,2,2,3,1,3,2,1,2,1
"25",2,1,1,2,1,1,3,1,1,2,2,3,1
"26",2,1,1,3,3,2,1,2,2,3,1,3,3
"27",1,2,3,2,3,2,1,3,3,2,1,1,3
"28",3,3,1,2,3,3,3,1,2,2,2,1,3
"29",3,3,2,2,1,3,1,3,2,2,3,3,3
"30",2,3,1,2,1,1,1,3,3,1,1,2,2
"31",3,2,1,3,2,3,2,3,1,2,2,2,1
"32",3,1,2,1,1,2,3,2,1,2,1,2,3
"33",3,2,1,3,1,2,2,2,3,1,3,1,3
"34",1,2,2,1,3,3,2,3,2,3,2,3,1
"35",1,3,1,2,3,2,3,3,1,3,3,2,2
"36",3,2,2,3,3,1,1,1,1,1,1,2,2
"37",2,3,3,3,3,3,2,1,3,2,3,2,1
"38",3,3,2,1,3,2,2,2,3,1,1,3,1
"39",1,2,3,1,2,3,3,2,1,1,1,3,2
