"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1",2,1,2,2,1,1,3,1,1,1,3,2,1,3,3,2,2,3,2,3
"2",2,2,1,1,1,1,2,2,3,2,2,1,1,3,1,1,1,1,1,1
"3",3,1,2,3,3,2,3,1,2,3,2,1,3,2,1,1,1,2,2,3
"4",2,2,1,1,1,2,2,2,1,3,1,3,3,1,3,2,3,2,1,3
"5",3,2,3,3,1,3,2,3,3,2,1,2,1,1,1,3,2,2,2,3
"6",1,1,2,2,3,3,2,3,2,1,1,2,2,1,3,1,1,3,1,1
"7",2,3,1,3,3,1,1,1,3,1,1,2,3,2,2,2,2,2,3,1
"8",3,3,3,1,3,1,3,2,2,1,3,3,2,1,2,2,2,1,1,2
"9",1,3,2,1,2,2,3,2,1,2,2,1,3,1,1,3,2,3,3,1
"10",3,1,1,2,1,3,1,2,2,3,3,3,2,2,2,3,1,2,3,1
"11",1,3,1,3,2,2,3,3,3,3,3,3,1,2,2,1,3,3,2,2
"12",3,3,3,2,2,3,1,1,3,2,2,1,2,3,3,2,3,3,1,2
"13",1,2,3,3,2,1,1,3,1,2,3,1,3,2,3,3,1,1,2,2
"14",1,1,3,1,3,2,2,1,2,3,1,2,1,3,2,3,3,1,3,2
"15",2,2,2,2,2,3,1,3,1,1,2,3,2,3,1,1,3,1,3,3
