"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",4,1,4,4,4,6,3,1
"2",5,3,1,3,5,6,2,5
"3",4,6,5,2,6,3,3,6
"4",2,5,3,5,6,6,6,3
"5",6,6,4,6,3,4,1,4
"6",6,4,6,4,5,1,2,3
"7",2,1,5,5,1,3,2,5
"8",4,3,3,1,1,2,1,3
"9",1,4,6,1,2,6,3,4
"10",2,2,5,3,6,4,1,2
"11",5,3,6,3,3,2,6,1
"12",5,1,2,5,6,2,4,4
"13",2,6,4,3,2,1,5,4
"14",3,2,1,6,2,1,3,2
"15",4,4,1,4,1,4,6,5
"16",6,2,3,2,2,5,4,6
"17",3,6,2,2,3,5,2,1
"18",1,1,2,2,3,4,5,3
"19",1,5,2,4,4,2,1,6
"20",6,5,1,1,4,3,5,2
"21",5,5,5,5,1,5,4,2
"22",3,3,6,6,4,5,5,6
"23",1,4,3,6,5,3,4,1
"24",3,2,4,1,5,1,6,5
