"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"1",2,3,3,3,2,2,3,1,2,3,3,1,2,3
"2",3,3,1,2,3,2,1,2,3,3,1,1,1,2
"3",2,3,2,1,1,1,1,2,3,1,3,3,3,2
"4",3,1,1,3,2,2,1,3,2,1,2,3,1,2
"5",2,1,2,1,1,3,3,3,1,3,3,2,2,2
"6",1,3,1,1,1,3,2,3,2,3,2,1,2,2
"7",3,2,2,3,1,3,3,2,2,2,3,1,1,1
"8",3,3,3,1,2,3,1,2,1,2,2,2,3,3
"9",2,1,1,3,3,3,2,2,3,2,3,3,2,3
"10",2,3,1,3,3,2,1,1,1,2,3,2,3,1
"11",3,1,1,2,1,3,2,1,2,1,2,2,3,1
"12",3,2,3,3,2,3,2,1,3,3,1,3,3,2
"13",1,2,2,3,3,2,2,3,3,1,1,2,3,1
"14",2,3,3,2,2,3,2,3,3,2,3,3,1,1
"15",3,2,3,2,3,1,1,3,2,1,3,2,2,3
"16",2,2,3,2,3,3,3,3,1,1,2,1,3,2
"17",3,2,1,1,2,2,3,3,3,2,2,1,3,3
"18",1,2,3,1,1,2,1,1,1,2,1,3,2,1
"19",2,1,3,3,2,1,1,3,1,3,2,1,2,1
"20",2,2,1,2,1,1,3,3,2,3,1,3,3,1
"21",2,1,3,1,1,1,2,3,3,2,1,2,1,3
"22",1,2,1,1,2,1,2,2,1,1,3,1,1,1
"23",1,3,3,3,1,2,3,1,3,1,2,2,1,2
"24",3,3,2,1,3,1,3,1,2,3,2,3,2,1
"25",1,3,2,3,3,1,2,3,1,2,2,3,1,3
"26",2,2,2,1,3,3,1,1,2,1,1,1,1,3
"27",1,3,1,2,2,3,3,2,1,1,1,3,2,3
"28",1,2,1,2,2,1,1,1,3,3,2,2,2,3
"29",1,1,3,1,3,2,2,2,2,3,3,3,3,2
"30",1,1,2,2,3,3,1,2,3,3,2,2,1,1
"31",1,1,2,2,2,1,3,1,3,2,3,1,3,2
"32",3,2,2,2,1,2,2,1,1,3,3,3,1,3
"33",1,1,2,3,1,2,1,2,2,2,1,1,3,3
"34",3,1,3,1,2,2,3,2,2,1,1,2,2,1
"35",3,3,2,3,1,1,2,2,1,1,1,1,2,2
"36",2,1,1,2,3,1,3,1,1,2,1,2,1,2
