"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",3,3,3,1,2,1,3,2
"2",3,2,1,1,3,1,1,2
"3",1,2,2,3,1,2,2,3
"4",1,3,1,1,2,3,2,3
"5",1,2,2,3,3,3,1,3
"6",1,3,2,1,1,1,2,1
"7",3,1,3,2,3,3,2,3
"8",2,3,1,2,3,3,1,2
"9",1,2,3,1,3,3,3,1
"10",2,1,1,1,2,2,3,1
"11",3,2,1,1,1,3,3,3
"12",3,3,2,1,2,3,1,1
"13",2,3,1,3,1,1,1,2
"14",2,2,2,2,2,2,2,2
"15",1,2,3,1,2,1,1,3
"16",1,1,1,2,3,1,3,3
"17",3,1,3,1,2,2,2,1
"18",3,3,1,3,3,2,3,1
"19",1,1,1,2,1,3,1,1
"20",1,1,2,1,3,2,1,2
"21",1,3,3,2,3,1,2,2
"22",2,2,1,2,1,2,2,2
"23",3,2,3,3,1,3,2,1
"24",3,1,2,2,1,1,3,1
"25",3,2,2,2,2,2,1,2
"26",1,1,3,3,1,2,3,2
"27",2,2,2,2,3,2,2,1
"28",2,1,3,1,1,3,1,2
"29",3,1,2,3,2,3,3,2
"30",3,3,3,2,1,2,1,3
"31",2,1,2,1,1,1,2,3
"32",3,3,2,3,3,1,2,3
"33",1,3,3,3,2,2,1,1
"34",2,3,3,3,2,3,3,3
"35",2,3,2,1,3,2,3,3
"36",2,1,1,3,3,3,2,2
"37",2,1,3,3,3,1,1,1
"38",1,3,2,2,1,3,3,2
"39",2,2,1,2,2,1,2,1
"40",1,2,1,3,2,1,3,1
"41",2,2,3,2,1,1,3,3
"42",3,1,1,3,2,2,1,3
