"","V1","V2","V3","V4","V5","V6","V7"
"1",1,2,4,2,3,1,3
"2",3,3,3,4,3,3,1
"3",1,4,1,2,1,2,3
"4",2,3,2,1,3,1,4
"5",3,4,2,4,2,2,4
"6",1,3,2,4,4,1,2
"7",3,4,4,3,4,2,3
"8",2,1,2,3,1,1,3
"9",1,4,3,2,4,3,4
"10",2,1,3,3,4,4,1
"11",3,3,4,2,1,4,2
"12",2,3,4,4,1,3,4
"13",1,3,4,3,3,2,1
"14",2,2,1,3,2,3,2
"15",4,3,1,3,2,4,4
"16",2,4,2,1,3,4,3
"17",3,1,3,3,4,1,4
"18",4,4,1,3,3,1,2
"19",2,2,1,2,4,2,1
"20",3,1,4,2,3,4,4
"21",4,2,4,1,4,3,2
"22",4,3,3,2,2,1,3
"23",2,4,3,4,2,4,2
"24",3,3,1,1,4,3,2
"25",4,1,2,2,3,2,1
"26",3,1,1,1,2,3,3
"27",3,2,1,4,1,1,1
"28",1,1,3,1,1,2,2
"29",4,4,2,2,1,3,1
"30",4,2,2,4,4,4,3
"31",1,1,1,4,3,3,4
"32",4,2,3,1,1,2,4
"33",4,1,4,4,2,2,2
"34",1,2,2,1,2,4,1
"35",1,2,3,3,1,4,3
"36",2,4,4,1,2,1,1
