"","V1","V2","V3","V4","V5","V6"
"1",3,4,2,1,5,1
"2",5,2,2,5,2,5
"3",1,3,5,2,5,2
"4",4,1,5,1,3,2
"5",4,5,3,2,5,4
"6",1,2,3,3,4,1
"7",2,2,5,5,4,4
"8",2,5,1,1,4,2
"9",3,3,1,2,2,2
"10",3,5,3,3,2,5
"11",5,5,5,2,4,1
"12",2,2,4,1,2,1
"13",5,3,3,5,5,2
"14",1,4,3,4,2,3
"15",5,2,5,3,2,3
"16",4,4,5,5,1,1
"17",2,5,3,4,2,1
"18",5,4,5,4,4,5
"19",5,1,1,3,5,3
"20",5,5,1,4,1,4
"21",3,3,5,3,5,3
"22",1,5,4,4,5,4
"23",3,2,1,4,1,3
"24",3,5,5,1,1,3
"25",1,3,1,5,3,1
"26",4,2,1,4,4,1
"27",5,3,2,1,4,4
"28",3,1,4,4,5,1
"29",4,3,2,3,3,1
"30",5,2,4,4,3,2
"31",4,4,1,3,2,2
"32",2,1,2,2,3,3
"33",2,3,4,1,1,5
"34",2,4,4,3,4,2
"35",4,3,2,2,1,5
"36",1,1,5,4,2,5
"37",5,4,3,1,3,3
"38",2,2,2,3,5,4
"39",1,3,4,5,1,3
"40",3,5,4,5,3,2
"41",4,2,4,1,5,5
"42",3,1,1,2,4,5
"43",3,1,4,3,1,4
"44",4,5,2,5,4,3
"45",4,4,4,2,2,4
"46",2,1,2,5,1,2
"47",1,1,3,1,4,3
"48",2,4,5,2,3,4
"49",4,1,3,5,3,4
"50",1,4,2,2,1,2
"51",5,1,3,2,1,1
"52",1,5,2,3,3,5
"53",2,4,1,5,5,5
"54",1,2,1,1,2,4
"55",3,3,3,4,3,5
