"","V1","V2","V3","V4","V5","V6"
"1",2,4,1,3,2,4
"2",1,4,4,3,3,1
"3",3,3,3,1,4,1
"4",4,3,3,4,3,1
"5",1,3,1,3,1,2
"6",3,1,3,3,3,4
"7",4,2,4,2,3,4
"8",4,4,4,3,4,3
"9",3,3,1,2,4,4
"10",2,4,3,2,1,3
"11",2,3,1,1,2,1
"12",3,3,2,4,3,3
"13",1,3,3,2,2,2
"14",2,3,4,4,1,4
"15",3,1,1,2,1,3
"16",4,1,2,3,4,2
"17",1,3,3,1,4,3
"18",2,1,3,3,1,1
"19",2,4,2,4,4,2
"20",1,1,2,1,1,4
"21",1,4,2,2,3,4
"22",2,1,4,2,4,2
"23",2,1,1,4,3,3
"24",3,4,3,4,1,2
"25",3,2,2,1,1,2
"26",3,2,1,3,4,1
"27",4,4,2,2,2,1
"28",4,2,4,2,1,1
"29",1,2,3,4,4,4
"30",4,4,1,1,3,2
"31",1,2,2,4,2,1
"32",4,3,2,3,1,3
"33",1,1,1,2,3,1
"34",3,1,4,4,2,2
"35",1,2,4,3,2,3
"36",2,2,2,1,4,3
"37",3,4,4,1,2,4
"38",4,2,1,4,2,4
"39",4,1,3,1,2,3
"40",2,2,4,1,3,2
