"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",1,1,3,1,2,2,1,2,3,1,2
"2",2,2,1,2,1,3,3,2,1,1,3
"3",3,2,3,2,3,1,3,2,3,2,3
"4",3,3,1,3,2,1,3,1,1,2,2
"5",1,2,3,3,1,1,2,2,2,3,1
"6",3,3,3,1,2,3,3,2,2,3,1
"7",2,2,1,1,3,1,1,2,2,3,1
"8",1,3,2,2,2,2,3,3,3,3,3
"9",3,1,1,3,1,2,2,2,3,3,2
"10",1,3,2,1,3,1,2,2,1,2,3
"11",2,2,1,3,3,2,3,3,2,1,1
"12",1,1,2,2,3,3,3,1,2,3,2
"13",2,3,2,2,1,1,1,3,3,1,1
"14",2,1,3,1,1,1,3,3,1,2,2
"15",3,2,2,1,3,3,2,3,3,1,2
"16",1,3,1,1,1,2,2,1,2,1,2
"17",3,1,3,2,3,2,2,1,1,1,1
"18",2,1,2,3,2,1,1,1,2,1,3
"19",3,2,2,1,1,2,1,1,1,3,3
"20",1,2,1,2,2,3,1,1,3,2,1
"21",2,3,3,3,3,2,1,3,1,3,2
"22",3,1,1,2,2,3,1,3,2,2,3
"23",2,3,3,3,1,3,2,1,3,2,3
"24",1,1,2,3,2,3,2,3,1,2,1
