"","V1","V2","V3","V4","V5"
"1",5,1,5,3,4
"2",5,5,2,4,2
"3",5,2,3,4,3
"4",3,2,1,4,5
"5",3,1,4,5,2
"6",4,2,4,1,5
"7",2,3,5,1,2
"8",1,4,2,2,1
"9",2,4,1,5,3
"10",4,1,2,1,3
"11",3,2,2,1,1
"12",1,3,3,1,4
"13",2,5,1,1,4
"14",4,3,1,5,1
"15",2,1,5,2,5
"16",1,2,4,2,3
"17",3,3,3,3,3
"18",3,4,5,4,4
"19",4,5,5,2,3
"20",5,1,1,2,2
"21",5,3,4,5,4
"22",4,5,3,5,5
"23",1,5,4,4,5
"24",1,1,2,5,4
"25",1,4,5,5,2
"26",5,4,2,2,5
"27",2,3,2,3,5
"28",4,2,5,4,1
"29",4,4,1,3,4
"30",3,3,3,3,3
"31",1,2,1,3,2
"32",3,5,3,2,2
"33",2,1,3,4,1
"34",2,5,4,3,1
"35",5,4,4,1,1
