"","V1","V2","V3","V4","V5"
"1",3,5,3,3,3
"2",4,1,4,2,2
"3",2,4,2,1,2
"4",1,4,1,3,4
"5",3,1,5,3,5
"6",2,2,2,2,4
"7",3,5,1,2,1
"8",3,3,1,5,5
"9",2,1,4,1,3
"10",4,4,2,4,4
"11",1,2,4,4,4
"12",3,3,5,5,3
"13",4,4,4,5,1
"14",1,1,2,4,1
"15",1,5,3,5,3
"16",2,2,1,5,2
"17",5,1,3,5,4
"18",1,4,5,2,2
"19",5,3,1,1,3
"20",2,5,4,4,5
"21",4,1,1,3,3
"22",1,3,3,1,5
"23",5,2,5,4,2
"24",2,3,5,3,1
"25",4,5,5,1,4
"26",5,3,3,3,1
"27",4,2,2,2,5
"28",5,4,4,2,5
"29",5,5,2,4,2
"30",3,2,3,1,1
