"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",5,1,4,4,1,3,4,3,1,2,4,4
"2",2,1,3,5,4,5,3,4,5,4,2,4
"3",3,2,2,4,2,1,2,4,2,5,4,5
"4",5,5,5,2,2,5,2,3,3,5,2,3
"5",2,1,5,3,2,2,1,1,5,3,5,3
"6",1,5,5,4,4,4,3,3,4,1,4,5
"7",5,5,3,1,3,1,3,2,2,2,5,1
"8",2,4,4,4,5,3,4,2,5,5,3,1
"9",1,4,1,3,5,2,2,1,3,2,2,4
"10",3,2,5,1,2,3,5,4,4,2,2,1
"11",1,5,2,2,1,1,4,4,4,4,3,2
"12",3,1,1,3,4,2,4,3,2,5,1,1
"13",5,2,2,1,4,4,4,1,4,5,4,3
"14",4,1,2,2,3,4,1,5,3,2,2,5
"15",4,5,2,4,5,4,5,4,1,3,1,3
"16",2,4,3,2,2,5,5,1,1,3,3,5
"17",4,4,1,3,1,5,3,5,5,3,4,2
"18",1,2,3,1,1,3,3,2,2,4,1,5
"19",3,4,4,1,4,1,1,3,5,3,1,4
"20",2,3,1,1,4,3,2,4,1,1,5,3
"21",1,2,2,5,3,5,5,3,3,2,5,2
"22",5,3,1,3,3,1,5,2,5,1,3,5
"23",1,3,4,3,3,4,1,5,1,5,4,1
"24",2,4,4,5,2,2,4,5,2,1,1,3
"25",3,1,4,2,5,5,2,2,2,1,3,2
"26",3,5,1,5,1,3,1,2,3,4,5,4
"27",4,3,5,2,5,2,5,5,3,4,5,4
"28",4,3,3,4,1,4,2,1,4,1,1,1
"29",5,2,3,5,5,2,1,5,4,3,3,2
"30",4,3,5,5,3,1,3,1,1,4,2,2
