"","V1","V2","V3","V4","V5"
"1",4,4,2,3,4
"2",4,1,3,2,3
"3",3,1,4,3,1
"4",4,4,4,1,1
"5",3,2,3,1,2
"6",3,2,1,3,3
"7",4,3,3,3,2
"8",1,4,3,1,4
"9",1,3,2,1,2
"10",2,4,4,4,2
"11",4,1,1,4,2
"12",4,2,4,4,4
"13",2,2,2,3,2
"14",1,2,3,4,1
"15",3,1,2,1,4
"16",3,3,2,4,1
"17",1,4,1,3,1
"18",4,2,2,2,1
"19",1,2,1,2,4
"20",3,3,4,2,4
"21",2,1,3,3,4
"22",3,4,3,4,3
"23",2,2,4,1,3
"24",1,1,4,2,2
"25",4,3,1,1,3
"26",1,3,4,3,3
"27",2,3,1,4,4
"28",2,3,3,2,1
"29",1,1,2,4,3
"30",3,4,1,2,2
"31",2,4,2,2,3
"32",2,1,1,1,1
