"","V1","V2","V3","V4","V5","V6","V7"
"1",2,5,5,5,5,3,4
"2",2,3,4,1,4,2,1
"3",1,5,4,4,1,1,2
"4",6,1,5,4,4,4,6
"5",5,3,4,6,6,5,5
"6",1,3,2,6,4,3,4
"7",5,5,6,3,6,3,1
"8",6,4,3,6,1,4,2
"9",3,1,3,6,2,1,5
"10",6,6,3,2,4,1,5
"11",6,4,5,2,2,6,3
"12",3,1,6,4,5,6,2
"13",2,4,1,4,6,2,6
"14",3,2,5,2,6,1,4
"15",3,6,4,5,3,6,6
"16",5,5,1,4,2,5,4
"17",5,1,4,1,1,3,4
"18",6,2,2,5,5,2,3
"19",4,6,6,6,3,2,3
"20",2,2,2,3,1,6,5
"21",1,4,6,1,3,5,5
"22",4,3,6,3,1,2,6
"23",1,6,3,3,6,5,3
"24",3,6,2,2,2,3,1
"25",1,1,1,2,3,4,3
"26",5,3,1,3,3,1,2
"27",4,2,3,1,5,5,2
"28",4,4,1,5,4,6,1
"29",4,5,2,1,5,4,6
"30",2,2,5,5,2,4,1
