"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1",3,4,4,2,1,2,3,1,1,2,4,2,4,1,2
"2",3,3,4,2,2,1,4,2,2,4,2,1,2,4,4
"3",1,4,3,3,4,2,4,4,1,3,2,2,3,4,1
"4",1,1,3,2,1,3,3,1,3,3,1,4,1,4,3
"5",4,1,3,1,2,3,3,3,1,1,3,1,1,3,1
"6",2,2,1,1,2,1,4,2,4,3,2,4,4,2,1
"7",4,3,4,1,4,1,2,4,3,1,1,3,3,2,3
"8",4,3,2,4,1,3,4,4,3,4,4,3,4,3,2
"9",2,2,4,4,4,3,2,2,1,2,2,4,4,3,4
"10",1,2,1,3,1,2,2,3,3,1,3,1,4,4,3
"11",1,4,2,2,2,4,3,3,2,1,3,4,3,1,4
"12",3,2,1,4,3,2,3,3,1,4,1,3,1,1,3
"13",3,2,4,3,1,4,2,4,4,2,2,3,2,1,1
"14",1,1,4,3,3,1,1,3,2,4,4,4,2,2,2
"15",3,4,3,2,3,4,1,3,4,4,1,1,4,3,2
"16",2,4,1,1,1,3,1,4,2,3,2,2,1,2,4
"17",4,1,3,4,2,2,1,2,4,3,3,2,3,1,4
"18",2,1,2,2,4,1,3,4,4,2,4,2,2,3,4
"19",4,1,1,3,4,4,4,1,2,2,1,2,3,2,2
"20",2,3,2,4,2,1,1,1,2,1,1,3,2,3,1
"21",4,4,1,3,3,2,2,2,4,2,3,4,1,4,2
"22",1,3,2,1,4,3,2,1,3,4,3,1,2,1,1
"23",2,3,3,4,3,4,4,2,3,1,4,1,1,2,3
"24",3,2,2,1,3,4,1,1,1,3,4,3,3,4,3
