"","V1","V2"
"1",4,3
"2",4,2
"3",5,4
"4",2,3
"5",5,1
"6",1,4
"7",1,1
"8",3,1
"9",3,4
"10",5,3
"11",3,5
"12",2,2
"13",4,4
"14",2,1
"15",5,3
"16",5,5
"17",4,2
"18",4,5
"19",5,2
"20",2,2
"21",3,4
"22",5,1
"23",1,3
"24",1,5
"25",2,5
"26",3,5
"27",3,1
"28",2,4
"29",1,5
"30",2,4
"31",1,1
"32",2,3
"33",4,3
"34",5,5
"35",3,2
"36",4,4
"37",4,1
"38",1,3
"39",1,2
"40",3,2
