"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",2,5,2,4,4,3,5,5,4,2
"2",4,4,4,5,5,2,3,4,3,1
"3",1,4,2,1,1,3,3,2,4,5
"4",1,3,5,3,5,4,4,2,5,3
"5",4,2,1,3,3,3,1,3,5,1
"6",3,2,5,4,1,1,3,2,1,1
"7",2,1,1,2,5,1,3,1,3,4
"8",5,2,3,1,5,2,2,3,1,3
"9",5,1,5,5,3,4,3,5,2,2
"10",2,3,5,1,1,4,1,4,3,2
"11",3,5,4,5,1,5,4,3,4,3
"12",4,5,1,3,4,4,3,4,1,5
"13",2,4,3,2,2,5,3,5,5,1
"14",5,5,3,3,1,1,2,1,3,2
"15",5,3,2,3,5,5,2,5,4,4
"16",5,3,1,4,2,5,5,2,3,2
"17",4,1,4,2,3,5,1,2,3,5
"18",5,4,3,4,4,1,4,3,5,5
"19",1,4,1,4,2,2,1,4,2,3
"20",4,2,4,1,4,3,5,1,4,1
"21",2,4,4,4,4,5,2,1,1,3
"22",1,2,3,1,4,5,4,4,2,4
"23",1,1,2,3,2,4,4,3,1,1
"24",4,3,3,5,1,3,1,5,1,4
"25",1,5,4,2,3,1,5,3,1,3
"26",4,1,2,2,1,2,5,4,5,3
"27",3,5,5,1,3,2,2,3,5,4
"28",3,1,5,4,5,3,5,4,3,5
"29",5,4,5,2,2,3,4,1,2,4
"30",3,3,1,1,3,1,4,5,2,2
"31",1,1,3,5,4,2,1,2,4,2
"32",2,2,4,3,2,1,2,5,4,5
"33",3,2,1,5,2,4,2,1,5,4
"34",3,5,2,2,5,4,1,2,2,1
"35",2,3,2,5,3,2,5,1,2,5
