"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1",3,1,3,1,2,2,3,1,1
"2",2,4,4,1,3,1,6,6,4
"3",3,6,1,5,6,3,5,4,1
"4",1,6,4,6,2,3,3,5,6
"5",5,3,2,1,6,4,6,2,2
"6",6,4,2,3,1,5,2,3,1
"7",4,3,5,6,1,1,5,2,4
"8",1,1,1,4,3,4,3,2,5
"9",4,4,2,4,5,1,2,1,6
"10",2,6,3,2,5,5,1,2,4
"11",2,3,2,6,3,6,4,6,2
"12",5,2,1,5,2,2,1,4,4
"13",4,1,6,2,2,5,5,5,3
"14",4,5,1,1,4,6,2,5,5
"15",2,2,5,2,6,4,4,4,6
"16",2,2,6,5,4,3,2,1,2
"17",6,3,6,1,3,3,1,3,6
"18",3,2,3,5,1,5,6,4,6
"19",4,1,4,6,5,6,1,3,3
"20",6,2,4,4,5,2,4,5,1
"21",6,1,2,3,4,3,5,6,5
"22",1,5,1,2,1,2,4,3,3
"23",3,5,5,4,1,4,1,6,2
"24",5,6,5,2,4,1,3,4,2
"25",3,5,6,4,5,2,6,3,5
"26",1,4,5,3,4,6,5,2,1
"27",5,6,4,3,2,6,4,1,5
"28",1,3,3,3,6,1,2,5,3
"29",6,5,3,6,3,4,6,1,3
"30",5,4,6,5,6,5,3,6,4
