"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",17,11,12,2,7,15,4,7,17,8,18,9
"2",12,15,9,11,18,18,12,4,8,2,14,15
"3",2,9,1,16,10,7,14,6,3,5,17,8
"4",14,13,3,10,3,8,16,2,15,14,5,13
"5",9,7,11,3,1,2,13,8,11,1,2,6
"6",1,1,8,1,8,13,18,11,9,11,8,16
"7",16,8,13,14,15,14,15,15,4,13,3,7
"8",6,17,16,8,14,5,17,13,13,9,15,4
"9",15,3,2,6,16,6,9,18,16,4,10,10
"10",10,18,6,7,11,9,3,12,1,7,1,17
"11",11,4,10,13,2,4,1,14,7,12,16,14
"12",13,2,17,9,6,11,8,1,2,6,11,2
"13",4,10,14,4,17,3,5,3,6,16,7,11
"14",3,14,15,15,5,12,6,17,12,3,6,12
"15",5,5,5,12,13,16,2,5,14,10,4,3
"16",18,16,7,18,9,1,7,10,10,15,9,1
"17",8,6,18,17,12,10,11,9,18,18,12,18
"18",7,12,4,5,4,17,10,16,5,17,13,5
