"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",6,10,18,9,8,6,18,5,18,2,8
"2",8,3,15,12,15,5,2,12,7,8,1
"3",2,15,12,1,12,14,5,11,14,6,6
"4",15,6,7,15,16,13,9,3,16,5,4
"5",17,13,13,14,11,2,13,10,15,15,16
"6",16,4,11,2,9,10,17,15,4,13,5
"7",4,12,8,13,6,18,14,7,8,18,2
"8",18,11,2,3,7,8,1,8,9,1,12
"9",9,7,3,8,10,1,6,1,1,16,7
"10",10,2,14,5,1,16,12,2,10,7,15
"11",3,8,10,16,5,3,8,18,5,4,13
"12",1,1,1,18,13,9,15,9,12,11,10
"13",14,16,16,17,3,11,4,6,3,10,9
"14",13,9,17,7,17,17,7,17,11,17,11
"15",11,14,5,11,14,15,16,13,2,3,14
"16",5,18,9,4,18,7,10,4,6,12,18
"17",7,5,6,10,4,12,3,14,17,14,17
"18",12,17,4,6,2,4,11,16,13,9,3
