"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",4,3,3,2,3,1,4,4,1,3,1,3
"2",2,2,1,3,4,4,1,2,1,4,3,3
"3",1,2,2,2,1,2,3,1,4,1,1,3
"4",2,1,3,4,4,3,3,1,3,3,1,4
"5",1,3,4,1,4,2,2,2,1,1,2,4
"6",3,2,2,1,4,1,4,2,3,4,2,2
"7",3,4,1,4,1,2,1,4,1,3,2,1
"8",4,3,2,4,4,4,1,4,3,2,4,4
"9",1,3,1,3,4,3,3,4,4,3,2,2
"10",4,4,2,1,2,4,2,3,1,3,3,2
"11",3,3,1,1,1,3,2,1,2,1,4,3
"12",2,1,2,3,2,2,4,4,1,1,4,4
"13",3,4,4,1,3,4,3,4,3,1,1,1
"14",3,4,2,2,3,3,1,2,2,3,1,4
"15",3,3,3,3,1,1,3,3,2,4,3,4
"16",4,2,3,3,3,4,2,3,4,1,2,4
"17",1,1,2,4,1,4,2,4,2,4,1,3
"18",4,1,1,2,4,3,4,3,2,1,3,1
"19",2,4,3,2,4,1,2,1,2,4,4,1
"20",2,1,2,1,3,2,1,3,4,3,4,2
"21",4,1,4,3,2,1,1,1,2,2,1,2
"22",3,1,4,2,4,1,2,4,4,2,3,3
"23",1,4,1,1,1,1,4,2,4,2,3,4
"24",2,1,3,2,1,4,3,2,1,2,2,2
"25",1,2,4,2,2,4,4,3,3,3,4,3
"26",4,1,1,1,2,2,3,1,3,4,2,4
"27",2,4,4,4,3,2,4,3,2,2,2,3
"28",4,4,3,4,2,3,3,2,4,4,4,3
"29",1,2,1,4,3,1,3,2,1,2,4,1
"30",1,4,3,3,3,2,1,1,3,1,3,2
"31",3,2,4,4,3,3,4,1,1,4,3,2
"32",2,3,1,4,2,1,2,3,3,1,1,2
"33",2,3,4,2,1,3,1,3,4,4,1,1
"34",3,3,2,3,2,4,4,1,4,2,2,1
"35",4,2,4,3,1,2,2,2,3,3,4,1
"36",1,2,3,1,2,3,1,4,2,2,3,1
