"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"1",2,1,4,2,2,2,3,1,3,4,2,1,1,2
"2",4,1,4,1,1,3,2,2,2,1,3,3,4,2
"3",4,4,3,3,1,4,4,3,3,1,2,2,1,1
"4",4,4,4,3,2,2,1,3,1,3,2,4,4,3
"5",2,3,2,3,1,1,1,1,3,3,4,1,4,4
"6",3,1,2,4,1,4,1,3,1,4,4,3,3,3
"7",1,1,2,3,2,3,4,4,1,2,3,2,1,4
"8",4,2,2,4,4,3,3,1,3,1,1,4,1,3
"9",3,4,2,2,2,4,3,2,4,4,1,2,4,2
"10",3,1,1,3,2,1,2,4,4,1,1,3,2,1
"11",1,4,3,4,3,2,4,1,2,1,4,3,4,1
"12",4,2,3,1,3,4,3,1,1,3,3,1,2,1
"13",4,1,3,3,3,2,3,2,4,2,4,2,3,3
"14",2,2,4,4,4,4,2,4,4,3,3,2,4,4
"15",1,4,4,3,4,1,2,2,4,4,3,4,2,3
"16",2,2,3,3,4,4,1,1,2,2,2,3,2,2
"17",1,3,1,2,1,2,2,1,1,4,2,2,3,1
"18",3,2,3,2,1,2,1,4,4,3,3,4,1,2
"19",2,3,4,2,3,4,4,4,2,1,4,1,2,3
"20",4,2,1,1,2,2,4,2,3,4,4,3,2,4
"21",2,1,1,1,4,1,4,2,1,3,1,4,3,2
"22",4,3,2,4,3,1,4,4,3,4,2,3,3,2
"23",3,3,4,2,4,1,3,3,1,2,4,3,1,1
"24",2,4,2,1,2,3,2,4,3,2,4,4,3,1
"25",2,3,3,1,3,3,2,3,1,4,1,3,1,4
"26",2,4,1,4,1,3,3,3,4,2,2,1,2,3
"27",1,3,2,1,4,2,1,3,4,1,3,1,3,2
"28",1,1,4,4,3,3,1,2,3,3,1,2,2,1
"29",3,2,1,3,4,3,4,3,2,4,3,1,4,1
"30",3,4,1,1,3,1,1,1,2,2,3,2,1,3
"31",4,4,2,2,4,2,2,4,2,3,1,1,2,4
"32",3,3,4,2,1,3,4,1,4,2,1,4,3,4
"33",1,2,3,1,1,1,3,4,2,2,1,2,4,3
"34",3,2,3,4,2,1,2,2,1,1,2,1,3,4
"35",1,3,1,4,2,4,3,2,2,3,4,4,1,2
"36",1,1,1,2,3,4,1,3,3,1,2,4,4,4
