"","V1","V2","V3"
"1",3,2,2
"2",2,3,2
"3",1,1,2
"4",1,1,3
"5",3,1,3
"6",1,3,1
"7",2,2,1
"8",3,1,1
"9",1,1,3
"10",2,1,2
"11",1,2,3
"12",3,2,1
"13",2,2,3
"14",1,2,2
"15",1,2,1
"16",3,2,3
"17",1,2,3
"18",1,3,3
"19",1,3,1
"20",3,3,2
"21",3,2,2
"22",3,1,2
"23",2,3,2
"24",3,1,2
"25",1,2,2
"26",2,1,3
"27",2,3,1
"28",2,1,2
"29",3,3,2
"30",2,2,3
"31",3,2,3
"32",2,3,1
"33",2,1,1
"34",3,2,1
"35",1,3,2
"36",1,1,2
"37",3,3,3
"38",3,1,1
"39",2,3,3
"40",2,1,3
"41",3,3,3
"42",1,2,1
"43",3,3,1
"44",1,3,2
"45",2,1,1
"46",2,3,3
"47",2,2,1
"48",1,1,1
