"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34"
"1",4,3,4,3,6,4,3,1,4,6,1,3,6,1,1,4,1,1,2,6,1,2,6,5,5,6,2,4,4,4,4,5,2,5
"2",2,6,1,5,3,4,3,6,4,3,3,3,6,1,5,1,3,2,2,6,6,6,3,3,1,1,6,2,6,5,4,5,4,3
"3",5,6,2,6,3,3,2,6,5,1,5,5,2,6,3,3,1,3,2,4,2,1,6,5,1,4,3,4,5,3,1,6,5,4
"4",3,2,1,6,4,1,4,2,1,2,3,4,1,1,2,5,2,3,2,2,5,2,3,6,6,5,1,2,3,4,2,1,5,4
"5",2,6,5,6,2,5,2,4,2,4,4,3,4,2,1,3,1,1,5,5,4,4,6,1,5,2,5,6,3,3,6,1,3,6
"6",2,4,4,1,6,3,4,5,1,2,4,3,6,6,6,3,6,1,6,3,4,4,1,4,2,5,1,3,4,1,1,1,4,5
"7",5,2,1,2,6,4,1,4,2,4,3,3,3,6,6,6,5,6,1,6,6,3,4,1,4,5,5,3,4,6,2,3,3,6
"8",3,1,1,3,1,3,5,4,2,6,3,2,5,5,4,3,6,1,4,1,1,3,5,1,5,5,2,2,2,2,3,6,5,2
"9",3,4,1,2,4,4,3,2,2,4,1,5,4,5,5,2,1,2,2,1,1,1,1,4,1,1,4,4,1,2,3,2,1,5
"10",4,1,3,6,5,6,3,6,3,1,2,1,5,2,4,4,3,4,3,1,4,6,4,4,4,1,5,6,2,1,2,1,6,2
"11",6,5,4,5,4,2,3,5,1,6,5,2,3,3,3,1,6,4,2,6,3,1,2,2,4,2,2,1,5,2,3,1,2,1
"12",6,5,1,4,6,1,5,3,2,5,4,4,5,5,1,5,5,5,5,5,3,5,4,4,1,6,4,6,3,3,4,1,6,1
"13",5,2,2,3,5,1,6,4,6,3,3,5,4,4,5,2,1,3,1,6,4,6,5,6,5,2,1,5,5,1,6,3,3,3
"14",2,4,6,6,3,1,1,3,5,6,1,4,5,6,6,4,4,5,3,1,5,4,6,2,2,3,4,1,4,2,5,5,2,2
"15",5,5,2,5,1,6,6,1,3,5,5,3,6,1,5,6,5,4,3,3,4,6,2,4,3,3,2,2,5,3,6,3,1,6
"16",6,5,2,4,2,4,1,1,5,3,2,1,2,4,1,5,5,2,6,1,3,3,5,4,6,2,3,2,6,1,5,3,5,4
"17",1,1,4,4,3,4,1,2,1,5,6,4,5,3,2,1,6,5,1,5,6,3,4,6,2,2,3,5,1,1,5,4,4,4
"18",6,4,6,6,1,4,2,3,2,3,2,3,3,6,3,6,2,6,4,5,1,5,3,5,5,1,2,5,1,4,2,6,4,2
"19",3,3,2,6,4,5,4,5,5,5,6,5,1,2,2,3,4,6,5,5,1,4,1,1,1,4,1,3,6,1,3,5,3,2
"20",3,4,4,4,5,2,5,6,4,5,6,1,4,6,2,2,1,6,4,1,6,5,4,5,5,4,2,2,2,5,4,2,1,6
"21",1,6,3,2,3,1,4,2,3,4,1,2,2,5,2,4,5,2,1,5,4,6,5,1,4,1,1,3,2,5,2,2,1,3
"22",4,2,6,1,2,1,4,6,2,4,1,5,4,4,3,5,6,6,1,2,1,5,1,4,3,3,3,1,6,6,3,5,4,4
"23",1,3,6,2,4,2,3,1,5,2,4,1,4,2,4,6,5,3,1,6,1,4,3,2,2,2,6,4,3,3,1,6,5,1
"24",1,4,3,4,2,4,5,2,1,1,3,6,3,2,6,1,1,6,6,1,3,4,1,1,3,3,2,4,4,6,4,3,5,1
"25",6,2,5,4,2,5,6,3,5,5,1,1,1,3,2,2,4,1,2,3,5,4,3,6,3,6,4,3,6,4,1,4,6,1
"26",1,4,2,3,4,5,6,5,1,5,3,4,1,3,5,6,3,5,5,6,4,2,6,4,5,6,6,1,1,3,5,6,4,4
"27",2,3,6,6,6,1,1,5,2,3,4,2,1,4,4,2,3,3,6,6,5,3,1,5,4,4,4,4,4,6,6,5,6,1
"28",2,2,5,3,6,3,1,4,6,2,1,6,1,2,1,3,5,5,3,5,2,5,2,3,6,3,3,2,1,4,6,2,5,3
"29",1,6,1,1,6,5,2,4,3,6,2,3,1,4,2,4,3,4,4,3,2,6,3,6,2,3,1,5,5,2,2,4,6,6
"30",3,2,2,2,4,2,1,6,4,5,3,6,6,1,5,6,4,1,4,2,4,2,5,2,3,4,3,6,6,5,6,2,5,2
"31",5,6,3,2,1,6,1,5,2,2,2,5,6,5,1,2,2,4,3,2,5,2,4,3,3,6,1,3,3,5,5,5,3,1
"32",4,3,6,4,5,6,2,3,6,2,3,4,5,3,3,1,4,3,6,4,1,3,4,1,1,3,1,1,1,6,1,2,2,6
"33",5,5,6,2,2,1,4,4,4,6,2,1,3,1,4,1,2,5,3,4,6,3,1,2,1,5,2,4,3,2,5,2,6,5
"34",2,1,6,3,6,6,5,6,3,4,4,2,2,3,2,5,1,3,6,1,6,1,5,2,1,3,5,3,6,2,3,4,3,3
"35",1,1,3,1,2,6,3,1,4,3,2,4,4,6,3,2,5,4,5,4,2,4,3,5,6,6,6,1,5,2,4,1,1,2
"36",4,4,1,1,1,2,4,1,4,4,4,5,1,2,1,3,3,5,2,3,6,3,6,3,4,3,6,5,1,1,1,3,1,1
"37",6,2,3,2,2,3,3,6,1,6,2,1,2,1,6,3,2,4,5,5,3,4,6,5,2,2,4,2,1,5,1,3,2,3
"38",1,3,5,5,2,6,5,4,5,3,3,2,6,4,6,5,1,5,1,5,3,1,1,3,6,4,4,3,2,1,2,5,4,6
"39",2,4,4,1,1,2,3,3,3,1,6,6,4,3,4,4,4,6,5,6,5,2,5,5,4,1,2,2,5,2,1,5,6,6
"40",5,1,4,2,4,5,6,1,2,6,5,6,6,4,3,4,2,2,5,4,5,6,2,2,6,2,3,3,3,6,2,5,2,2
"41",6,4,5,3,4,5,2,1,3,3,5,6,3,4,4,1,1,5,1,2,4,6,5,6,2,5,6,1,5,5,3,2,5,5
"42",3,5,4,1,3,6,6,3,5,1,6,3,1,2,4,2,2,2,1,2,1,2,5,2,4,2,4,1,4,5,5,1,4,2
"43",1,5,6,5,5,3,6,2,1,3,4,1,4,6,6,5,4,4,3,4,2,1,6,6,3,5,2,6,6,6,4,3,3,3
"44",6,3,5,4,5,6,4,5,4,5,5,6,2,6,6,3,6,2,3,1,1,6,6,3,4,1,5,4,3,4,5,4,6,5
