"","V1","V2","V3"
"1",1,6,1
"2",1,1,6
"3",3,4,3
"4",6,6,2
"5",4,1,2
"6",1,2,2
"7",1,5,5
"8",6,3,3
"9",2,3,2
"10",3,3,6
"11",6,1,1
"12",4,1,5
"13",2,5,2
"14",6,4,1
"15",6,3,3
"16",2,6,3
"17",5,3,5
"18",3,4,2
"19",6,2,6
"20",2,1,1
"21",1,6,6
"22",3,2,1
"23",3,3,6
"24",5,6,5
"25",5,1,6
"26",5,2,2
"27",6,6,4
"28",1,4,4
"29",1,4,3
"30",3,5,5
"31",1,1,3
"32",2,5,2
"33",2,5,5
"34",2,2,4
"35",4,3,4
"36",5,5,1
"37",1,3,4
"38",4,6,6
"39",2,4,6
"40",3,6,1
"41",4,2,3
"42",5,5,2
"43",4,3,1
"44",3,6,4
"45",5,4,4
"46",4,5,4
"47",6,4,5
"48",2,2,5
"49",6,1,4
"50",1,3,1
"51",4,4,6
"52",3,1,3
"53",3,1,4
"54",5,5,3
"55",5,2,2
"56",5,2,5
"57",4,6,3
"58",4,4,1
"59",6,5,6
"60",2,2,5
