"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35"
"1",3,4,6,3,1,5,5,6,1,3,3,2,6,6,1,6,5,1,5,3,1,2,3,5,3,1,4,1,4,4,5,3,2,1,3
"2",6,4,4,1,6,1,5,4,1,3,2,4,4,5,4,5,2,6,2,3,5,5,6,4,6,5,5,6,2,4,6,3,6,6,4
"3",1,1,2,2,4,1,6,6,6,4,1,3,2,2,2,5,1,1,3,4,4,4,2,4,6,5,4,5,4,3,3,6,1,1,3
"4",3,1,5,1,5,6,5,3,4,3,1,6,6,5,4,1,3,2,6,2,2,3,5,6,2,4,3,5,3,6,4,6,5,4,6
"5",2,2,4,5,3,1,6,2,1,2,4,5,5,3,3,1,6,6,2,4,3,1,6,5,1,3,1,6,3,5,3,5,3,1,4
"6",4,6,6,6,4,4,1,5,3,6,4,4,6,6,1,1,6,5,2,6,3,3,3,1,2,4,5,5,3,4,6,2,4,5,5
"7",6,5,5,3,4,6,3,4,5,2,1,3,6,3,4,3,6,4,5,1,5,3,3,2,6,1,5,1,3,1,1,4,6,2,1
"8",1,6,3,3,6,6,2,1,1,5,1,4,6,4,2,2,2,5,3,5,1,1,5,6,4,2,4,5,6,2,4,3,4,3,3
"9",2,1,4,5,6,5,6,3,2,6,3,2,2,4,3,2,4,5,6,2,4,1,3,2,6,3,6,3,1,2,5,5,2,6,2
"10",2,6,6,2,4,3,5,4,6,4,6,5,3,2,1,3,3,4,4,5,6,2,6,6,5,1,2,2,3,1,6,4,3,5,6
"11",6,1,2,4,1,2,3,5,4,6,3,5,3,6,4,6,3,5,3,5,1,3,6,1,5,6,3,4,5,2,4,6,3,6,1
"12",4,6,3,5,6,2,5,6,4,1,2,5,2,1,1,1,4,5,6,1,2,2,3,4,4,6,3,4,4,5,1,2,6,3,3
"13",6,4,1,6,5,4,2,6,5,2,3,6,4,4,2,4,1,4,4,4,5,1,1,6,4,3,1,5,2,4,2,6,6,5,2
"14",1,6,1,2,1,2,3,2,4,2,3,6,5,3,4,1,3,1,1,2,5,2,2,2,5,4,2,4,1,3,5,1,4,1,3
"15",1,4,2,1,5,1,6,4,3,5,3,6,5,3,5,2,5,4,5,5,1,6,3,3,1,5,6,2,2,5,2,3,1,3,5
"16",4,3,1,2,6,5,4,4,3,6,5,2,1,3,4,1,4,6,3,5,2,6,2,5,4,1,2,3,5,2,6,6,6,3,6
"17",4,5,3,1,4,3,2,2,3,1,4,1,1,1,2,6,1,4,5,1,5,4,5,1,1,3,4,6,2,2,4,3,3,1,6
"18",3,2,5,5,5,4,3,5,1,3,1,3,1,3,1,4,2,6,6,6,1,5,6,4,5,4,5,1,1,3,3,1,4,2,5
"19",1,5,1,4,3,6,2,3,3,2,6,5,4,6,3,5,5,2,5,2,5,4,4,4,4,6,6,6,5,1,6,5,3,1,2
"20",3,5,2,3,5,2,5,2,1,4,5,2,1,5,5,3,6,5,1,4,4,3,1,5,2,6,5,1,4,3,3,1,5,6,1
"21",1,2,5,6,3,3,4,4,2,1,2,3,1,1,6,2,1,2,5,4,3,2,5,1,2,3,1,3,5,4,6,2,5,4,1
"22",6,2,6,2,5,3,2,3,4,5,3,1,3,1,6,1,2,1,1,2,4,2,2,5,1,2,4,6,5,5,3,3,3,6,4
"23",3,5,5,2,4,1,3,1,3,3,6,1,2,4,2,3,2,4,3,1,1,1,4,2,6,5,1,6,6,4,2,5,2,4,1
"24",2,6,1,5,4,2,4,2,4,2,2,1,2,3,6,5,3,2,4,6,2,5,3,6,3,2,6,4,4,1,1,4,1,6,5
"25",2,4,5,4,2,4,2,2,2,4,3,6,3,2,1,6,4,5,1,3,1,6,3,4,3,5,1,2,6,1,1,5,5,5,6
"26",5,4,1,6,2,5,1,1,2,4,5,5,1,1,3,2,6,1,4,3,2,4,5,1,5,1,4,3,1,5,3,4,4,6,3
"27",5,4,4,5,5,3,1,6,6,3,6,4,2,2,4,6,5,2,2,4,1,1,4,2,1,5,6,1,5,3,5,4,6,3,5
"28",5,6,4,2,1,4,4,4,3,5,1,5,1,1,3,4,5,3,3,3,6,3,1,6,1,4,5,4,1,6,5,6,2,5,1
"29",5,6,4,4,6,1,2,6,2,2,4,3,5,6,6,3,5,1,2,4,1,5,4,3,4,2,2,3,1,1,4,1,1,4,2
"30",5,4,4,6,2,6,3,5,5,4,6,1,6,4,4,5,6,6,4,6,6,4,5,6,1,5,1,3,4,2,2,3,1,3,3
"31",2,3,2,3,1,2,1,5,5,6,6,3,3,4,3,2,1,3,2,2,3,3,6,4,3,1,6,4,1,1,2,2,1,2,6
"32",3,2,2,4,1,4,2,3,6,1,1,2,5,4,5,2,5,3,3,5,6,3,5,3,6,6,4,4,6,5,1,2,6,5,6
"33",3,3,3,6,1,6,3,6,1,4,1,2,4,2,5,3,2,3,2,1,2,6,1,3,1,6,6,5,2,1,4,4,5,4,3
"34",2,3,5,1,4,6,3,1,5,3,5,6,4,2,6,6,5,6,3,6,3,1,2,3,5,2,5,4,5,6,5,3,1,4,2
"35",3,2,3,1,6,4,2,5,6,3,3,1,3,6,1,1,4,2,2,4,5,6,6,2,2,3,1,2,4,6,2,5,3,3,1
"36",2,4,5,3,3,5,2,4,4,5,2,4,4,5,3,3,1,1,6,6,5,5,1,2,2,5,2,1,6,2,2,1,1,6,4
"37",4,1,6,1,1,2,4,1,1,1,2,3,6,1,2,4,4,2,2,6,6,4,2,2,4,6,2,3,2,2,3,4,3,5,4
"38",4,4,5,4,2,2,4,1,4,6,6,1,4,2,1,1,1,2,4,4,4,6,4,6,6,6,6,2,3,6,4,2,4,3,1
"39",1,5,6,3,1,1,1,5,4,2,1,2,2,4,3,5,6,6,6,5,4,6,4,3,2,2,3,3,2,5,6,6,4,4,4
"40",5,2,1,4,6,6,5,1,5,4,2,6,3,3,2,3,6,3,2,3,4,4,6,1,3,6,2,1,6,4,4,2,2,2,6
"41",3,6,1,4,2,3,6,1,5,5,4,3,5,5,2,4,2,6,1,1,5,2,5,3,2,2,5,1,5,5,2,6,5,4,4
"42",6,1,1,5,3,1,3,5,2,2,5,2,3,2,2,3,3,5,5,3,6,2,1,3,3,4,6,2,6,6,5,1,1,4,4
"43",6,1,2,2,3,5,6,3,4,1,5,4,4,4,1,6,4,1,1,6,2,3,5,4,2,3,4,2,1,1,1,3,5,4,1
"44",4,3,2,3,3,3,1,1,6,1,4,4,6,1,5,2,1,6,5,3,2,4,4,6,3,5,3,1,1,3,6,5,2,6,2
"45",3,3,3,6,5,3,1,2,2,6,2,6,3,6,4,5,4,2,1,5,6,3,1,5,5,1,3,1,2,5,4,5,2,2,5
"46",1,5,2,6,4,5,6,5,3,4,4,1,5,2,5,6,3,1,3,1,4,1,4,5,6,5,1,2,3,6,4,2,4,5,5
"47",5,3,6,6,1,3,6,3,5,5,3,5,1,4,5,3,4,4,5,6,5,5,5,4,4,2,6,5,6,6,5,1,5,1,3
"48",4,2,1,3,5,1,3,3,2,4,5,4,6,3,2,6,1,3,6,6,3,6,3,3,2,1,2,6,5,6,5,4,6,2,2
"49",4,2,3,1,2,6,4,6,2,1,6,4,2,5,3,4,6,4,1,1,4,4,3,6,5,1,3,5,5,4,1,1,2,6,4
"50",2,2,6,4,5,1,5,6,6,6,4,6,4,2,4,5,6,3,4,2,6,5,4,2,3,3,4,6,2,2,1,1,4,5,2
"51",6,3,6,3,6,4,4,2,1,5,6,3,5,6,6,5,3,4,6,4,4,2,4,1,3,6,5,4,1,4,1,5,2,2,6
