"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27"
"1",4,1,5,4,6,5,5,3,6,2,1,4,2,4,1,1,5,1,3,3,1,5,3,6,3,1,3
"2",5,4,2,3,6,6,6,6,6,6,1,5,4,2,5,2,2,4,6,1,5,2,4,4,3,3,4
"3",1,4,6,4,1,4,2,3,1,1,5,1,4,3,1,3,3,5,2,1,1,3,5,4,6,2,5
"4",1,3,1,3,5,1,5,5,4,3,2,2,6,3,6,6,4,4,2,3,2,2,3,1,2,1,6
"5",1,1,4,3,2,6,6,4,4,2,3,2,3,1,5,3,6,5,4,2,6,4,3,6,5,1,1
"6",5,1,3,4,1,2,5,4,1,5,2,6,3,4,3,5,1,5,5,6,4,2,1,4,6,4,1
"7",2,3,6,3,2,2,1,3,6,6,3,6,3,2,2,6,4,1,3,5,6,3,6,2,4,2,5
"8",6,1,2,5,1,4,3,4,6,4,1,3,5,2,4,4,3,1,1,4,1,1,4,2,2,6,5
"9",1,4,3,3,1,1,5,1,2,4,1,5,1,3,2,4,3,6,1,3,5,5,4,6,1,5,4
"10",3,6,2,4,4,4,3,5,3,4,2,5,6,6,1,2,6,6,2,2,6,6,2,5,2,3,5
"11",5,3,5,6,1,1,4,5,3,1,5,2,3,6,6,4,3,1,3,1,5,5,4,3,2,5,1
"12",6,2,4,4,2,3,2,1,5,4,4,6,5,1,6,6,4,4,4,2,2,6,1,6,5,5,4
"13",4,6,2,2,1,4,5,1,4,2,4,5,4,5,3,5,4,1,5,2,4,6,6,1,1,1,3
"14",5,4,6,6,5,5,1,2,4,5,2,1,3,1,3,2,4,5,4,5,4,6,3,1,1,4,6
"15",6,3,1,1,2,5,2,2,1,5,3,3,1,3,4,5,6,2,3,6,6,6,4,4,2,2,4
"16",2,1,1,6,4,3,6,6,5,6,3,4,5,5,4,5,5,3,1,3,4,5,5,2,6,4,1
"17",3,2,5,6,3,6,5,6,2,4,5,2,1,1,3,6,2,3,1,6,3,5,2,5,4,3,5
"18",1,4,5,5,5,6,3,3,1,6,1,5,4,6,6,5,5,2,4,4,3,4,1,1,3,2,2
"19",3,6,4,4,5,2,2,6,4,5,1,1,1,5,5,3,3,3,3,6,5,1,5,6,1,2,3
"20",2,3,1,4,1,4,6,6,1,2,6,3,5,3,2,1,4,3,4,5,6,1,1,1,4,3,3
"21",2,3,4,4,4,4,6,2,2,5,3,3,1,5,5,1,2,1,6,1,2,5,2,2,5,6,5
"22",6,5,4,3,2,6,1,6,4,3,6,5,3,5,1,5,1,5,2,3,3,4,5,1,3,6,2
"23",6,4,3,5,3,2,6,1,4,6,5,1,6,4,1,3,2,2,2,5,2,6,3,3,3,2,1
"24",2,4,2,2,1,2,4,2,3,3,2,1,2,1,6,5,4,2,6,4,1,1,5,5,5,3,2
"25",6,5,6,1,4,3,5,4,6,3,3,5,4,4,6,1,2,4,1,6,6,6,4,3,5,2,5
"26",4,5,1,5,4,1,1,1,2,2,4,6,2,3,5,2,3,4,6,4,6,5,3,2,4,1,1
"27",6,5,4,4,4,5,5,1,3,2,6,4,6,2,5,6,6,1,2,4,4,1,6,4,4,4,6
"28",1,6,5,6,2,3,4,3,3,6,4,3,6,1,6,1,1,6,5,3,5,2,4,4,3,6,3
"29",2,2,2,4,6,1,3,3,6,2,6,3,4,2,3,1,6,5,2,6,4,6,6,4,3,5,2
"30",2,6,3,5,3,2,4,6,4,1,4,6,3,4,5,3,6,2,5,6,1,4,2,4,1,6,6
"31",3,6,2,1,2,6,4,3,2,5,1,6,4,2,2,1,5,3,3,2,2,4,3,2,6,5,6
"32",1,6,6,1,3,5,2,6,5,3,6,2,6,3,4,4,3,1,6,4,4,6,3,5,6,4,3
"33",4,3,6,5,4,4,4,5,2,5,6,6,5,2,4,4,5,6,6,6,1,4,4,6,2,1,2
"34",6,1,4,2,6,2,4,5,2,5,5,1,5,4,3,3,6,2,6,2,6,3,2,1,4,5,4
"35",1,1,1,5,4,6,1,4,2,3,4,4,4,6,1,4,2,2,6,5,5,3,5,3,1,4,6
"36",3,2,1,1,3,2,5,3,5,5,6,6,2,6,2,3,3,1,2,1,3,1,4,5,4,2,2
"37",2,4,6,2,6,4,1,5,2,1,2,4,2,5,4,6,5,4,2,2,6,1,3,4,4,6,2
"38",2,5,3,6,6,6,4,2,6,1,5,6,5,5,3,4,2,6,3,4,4,1,3,2,5,1,4
"39",2,1,4,2,2,2,2,1,3,1,2,3,5,6,4,2,1,3,1,5,4,4,1,4,3,1,6
"40",1,5,6,2,4,4,3,5,5,4,3,5,1,1,3,1,1,2,3,5,1,2,1,3,2,4,1
"41",5,3,3,1,5,5,1,4,1,2,4,5,6,3,6,1,4,3,1,1,3,3,5,5,1,4,1
"42",4,6,5,2,6,1,6,4,1,2,3,3,6,6,2,6,3,5,4,6,1,4,5,2,4,4,4
"43",5,6,5,5,3,2,4,1,5,3,1,3,2,2,4,4,6,6,1,1,3,3,2,1,6,3,2
"44",3,5,2,5,6,5,2,4,6,6,4,2,1,3,2,6,6,3,5,1,2,4,4,3,5,5,1
"45",3,2,3,6,2,5,2,5,5,3,2,4,1,4,6,3,1,5,5,2,1,6,6,1,4,2,4
"46",5,4,1,3,5,1,3,5,5,1,2,4,5,1,3,3,1,2,4,5,3,5,5,6,6,6,5
"47",4,1,3,3,6,3,3,2,1,4,6,2,2,1,5,2,1,2,1,2,5,4,6,2,6,3,3
"48",4,4,2,2,3,4,6,4,6,4,6,1,2,6,6,5,5,6,3,5,5,3,1,2,3,6,5
"49",4,3,5,2,3,6,3,1,4,4,1,2,5,5,1,2,4,4,5,6,5,2,6,3,6,6,1
"50",1,5,4,1,6,3,4,2,5,5,5,1,3,4,4,6,1,4,5,2,3,5,6,6,2,3,6
"51",6,3,2,6,5,3,2,3,4,2,6,5,1,4,1,5,4,3,6,3,5,2,1,5,6,3,6
"52",5,2,3,1,4,3,1,6,3,1,1,1,4,2,2,6,2,6,5,3,2,5,2,3,3,2,2
"53",4,2,6,5,5,5,5,2,5,3,3,2,6,3,2,5,1,3,3,1,6,3,1,5,1,6,3
"54",6,5,1,6,3,6,6,3,2,1,2,2,2,6,4,2,3,5,4,3,2,2,6,5,2,4,3
"55",5,2,5,3,1,3,3,6,3,6,4,3,2,6,3,1,6,6,4,4,2,3,6,5,5,1,6
"56",3,1,5,1,5,3,6,2,3,1,4,6,1,2,1,3,5,4,5,4,3,1,5,1,2,5,4
"57",3,2,6,3,1,1,2,2,6,4,5,4,6,5,5,2,5,5,6,3,2,2,2,3,1,3,2
"58",5,6,4,2,3,1,3,4,1,6,5,4,3,1,1,4,2,4,4,1,4,1,1,3,1,1,5
"59",3,2,1,1,5,5,1,1,3,6,5,4,3,4,5,4,2,6,2,5,1,3,2,6,5,5,3
"60",4,5,3,6,2,1,1,5,1,3,3,1,4,5,2,2,5,1,1,4,3,2,2,6,5,5,4
