"","V1","V2"
"1",5,3
"2",5,1
"3",6,3
"4",6,6
"5",1,1
"6",6,3
"7",6,1
"8",5,2
"9",6,4
"10",4,1
"11",4,5
"12",2,3
"13",5,5
"14",5,2
"15",3,6
"16",6,5
"17",3,4
"18",1,5
"19",2,2
"20",2,5
"21",3,2
"22",4,1
"23",3,6
"24",5,4
"25",4,4
"26",5,5
"27",5,5
"28",3,3
"29",4,4
"30",3,5
"31",1,3
"32",2,6
"33",1,4
"34",4,2
"35",2,4
"36",2,2
"37",1,4
"38",3,3
"39",1,2
"40",3,1
"41",4,3
"42",4,6
"43",2,5
"44",3,1
"45",2,1
"46",1,6
"47",1,1
"48",6,2
"49",6,6
"50",6,1
"51",2,2
"52",5,2
"53",1,3
"54",1,6
"55",4,6
"56",4,3
"57",6,4
"58",2,5
"59",5,6
"60",3,4
