"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24"
"1",6,5,3,4,1,2,3,3,3,6,3,5,2,1,1,1,6,6,6,3,3,5,2,4
"2",3,6,4,2,4,5,1,2,6,3,3,6,1,6,1,5,6,3,3,3,4,5,5,6
"3",1,4,6,4,3,2,2,6,3,1,6,6,3,5,6,3,3,5,1,1,3,3,3,6
"4",2,3,2,6,6,3,4,2,3,1,3,6,4,3,5,1,6,3,1,2,6,6,3,5
"5",5,4,5,2,5,4,6,5,2,3,2,1,5,2,1,1,4,4,1,1,1,3,2,3
"6",4,6,5,6,6,1,4,6,4,2,1,6,1,3,2,3,3,2,3,3,5,4,6,2
"7",1,5,3,5,5,1,4,4,6,3,6,4,6,1,5,4,6,3,6,3,4,1,6,4
"8",4,4,2,1,3,1,1,5,1,3,4,2,2,1,1,4,3,3,2,4,6,1,1,5
"9",5,6,3,6,2,1,5,5,3,3,5,3,3,4,5,5,5,1,4,2,1,5,1,1
"10",6,3,1,1,4,3,3,4,6,2,2,3,3,2,5,3,4,2,6,6,6,6,2,1
"11",3,6,3,2,2,5,6,6,2,4,2,4,6,2,5,2,2,1,5,3,5,2,3,6
"12",4,2,2,2,6,4,4,3,6,4,4,1,4,5,6,5,1,6,6,2,1,4,1,4
"13",4,2,1,5,5,5,1,6,6,6,6,3,3,2,3,2,3,4,2,3,2,5,2,6
"14",6,4,4,5,3,6,6,1,6,3,5,5,2,5,6,1,2,3,1,4,5,4,2,4
"15",5,6,4,1,6,6,4,4,1,2,4,6,3,4,3,2,6,6,3,6,2,1,3,3
"16",2,5,4,5,1,5,2,5,5,1,3,1,2,1,4,4,1,6,4,2,6,3,3,2
"17",3,4,5,1,3,5,5,1,3,6,2,4,1,3,4,4,2,6,2,5,1,5,1,1
"18",2,5,3,5,1,6,4,6,6,6,1,2,4,4,1,3,4,3,1,6,3,3,4,1
"19",4,2,6,4,2,4,6,2,5,1,6,5,4,4,1,2,5,1,5,5,6,3,5,3
"20",5,3,5,3,3,1,1,2,6,4,4,3,6,3,4,1,5,6,2,1,5,2,5,1
"21",3,3,4,6,5,2,6,5,5,4,5,4,2,3,1,6,5,6,4,6,5,3,1,6
"22",3,1,4,5,6,2,1,5,2,2,2,2,1,6,4,2,5,2,5,5,2,2,3,4
"23",6,2,6,2,1,1,2,4,5,2,2,4,2,5,2,6,4,5,2,4,2,6,3,3
"24",4,4,1,6,2,5,6,4,3,4,3,1,1,2,5,5,6,5,2,6,3,1,5,4
"25",5,5,2,4,2,4,1,6,5,5,4,6,1,3,6,6,2,4,5,5,4,2,6,3
"26",3,5,3,3,6,2,1,1,1,1,5,5,5,3,2,4,2,4,5,1,4,5,1,2
"27",6,3,4,1,3,3,2,6,3,5,6,1,5,5,2,4,6,2,4,6,2,4,6,5
"28",2,1,5,1,2,4,4,1,5,2,5,1,1,3,3,3,5,4,6,2,3,2,2,6
"29",4,1,5,1,2,6,1,5,4,5,3,5,4,6,5,2,3,3,6,1,3,6,4,2
"30",4,3,4,1,4,2,6,2,3,1,1,2,3,6,6,6,1,4,4,3,3,1,5,1
"31",2,5,1,1,5,3,3,3,5,4,6,4,1,4,1,1,3,1,4,1,2,1,4,2
"32",5,6,2,6,4,3,3,1,4,2,5,3,5,6,2,4,2,6,1,5,2,2,4,6
"33",6,5,6,3,5,1,5,3,2,6,3,1,3,5,3,3,1,4,6,4,6,2,4,6
"34",3,5,6,2,2,2,2,3,6,2,4,4,5,1,4,1,1,2,3,6,1,4,5,5
"35",2,2,6,2,6,5,3,5,4,6,5,5,4,4,5,5,2,5,2,4,6,1,6,4
"36",1,3,2,4,1,6,1,2,4,2,3,1,5,3,6,3,4,1,3,4,1,1,1,3
"37",5,4,6,4,4,3,5,1,6,5,2,6,4,1,3,5,4,1,4,1,2,1,2,5
"38",1,2,5,6,1,4,5,4,1,5,4,3,3,6,2,1,2,2,3,2,4,1,1,4
"39",1,3,2,2,5,6,2,1,3,4,1,3,3,1,2,2,4,5,6,5,5,3,6,5
"40",2,3,6,5,3,6,5,4,2,2,4,3,6,3,1,5,1,3,5,2,2,6,6,5
"41",4,3,1,2,1,1,4,2,2,5,6,6,6,6,4,5,4,2,2,5,5,3,2,4
"42",5,1,2,5,4,6,5,3,2,3,6,4,1,6,3,4,4,5,5,1,6,4,5,1
"43",2,6,6,5,4,3,3,3,4,5,1,2,6,5,6,2,6,5,5,5,4,4,1,2
