"","V1","V2","V3","V4"
"1",6,5,5,6
"2",4,3,4,4
"3",5,2,5,5
"4",3,3,3,3
"5",1,4,5,5
"6",4,5,2,5
"7",4,1,1,3
"8",5,4,6,2
"9",3,6,1,3
"10",6,1,2,1
"11",4,3,6,3
"12",6,3,1,6
"13",5,3,4,5
"14",2,5,2,5
"15",5,2,2,6
"16",5,5,2,2
"17",4,6,5,2
"18",6,6,4,2
"19",2,5,5,5
"20",1,2,2,3
"21",1,1,6,1
"22",2,1,1,5
"23",1,4,4,1
"24",3,6,4,6
"25",5,1,5,3
"26",1,6,3,6
"27",3,1,5,4
"28",1,6,6,3
"29",6,1,3,5
"30",1,5,1,2
"31",2,2,3,2
"32",2,6,2,1
"33",1,3,1,4
"34",4,1,6,6
"35",6,2,6,4
"36",3,4,1,6
"37",6,6,1,4
"38",2,5,4,4
"39",2,2,5,2
"40",1,1,3,4
"41",5,6,6,5
"42",2,3,6,6
"43",3,5,6,1
"44",6,4,3,3
"45",5,2,1,2
"46",2,3,2,2
"47",5,4,2,4
"48",3,1,4,2
"49",4,4,1,1
"50",1,2,4,6
"51",6,3,5,1
"52",3,3,3,1
"53",4,6,3,4
"54",5,5,3,1
"55",3,2,2,5
"56",3,4,6,4
"57",6,5,4,3
"58",2,4,5,3
"59",4,2,4,1
"60",4,4,3,6
