"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"1",2,1,1,6,2,3,4,3,4,3,6,6,5,2,3,2,5,6,5
"2",2,5,6,3,5,6,2,6,5,3,4,2,6,2,4,3,3,1,1
"3",3,4,1,3,3,6,2,1,5,3,1,4,5,6,5,5,2,5,6
"4",6,5,3,1,2,3,1,4,5,6,3,3,2,2,2,6,5,5,2
"5",1,6,6,4,5,3,1,2,3,4,3,1,5,5,3,4,6,6,5
"6",6,5,3,3,4,4,6,3,2,2,2,6,2,5,4,1,6,1,5
"7",1,3,3,1,3,6,5,1,1,1,4,1,3,3,3,5,5,1,3
"8",6,2,5,5,2,4,4,1,2,1,5,3,5,6,2,5,4,5,2
"9",1,3,6,6,2,5,1,4,3,4,2,6,1,5,5,4,4,2,2
"10",2,1,4,5,3,4,2,3,1,4,1,1,4,1,4,6,2,5,1
"11",4,6,1,1,6,5,5,4,4,1,5,3,3,4,2,1,4,5,6
"12",5,6,2,1,1,2,4,6,5,3,5,6,4,5,5,3,5,2,4
"13",4,3,6,2,3,3,4,5,1,3,2,5,2,5,1,6,4,6,6
"14",3,3,3,5,5,5,4,5,5,5,2,6,5,4,1,1,2,6,1
"15",5,1,5,2,4,3,3,4,4,4,6,2,6,4,6,5,6,1,6
"16",4,2,1,3,6,1,3,3,6,2,2,1,4,5,1,4,4,1,2
"17",1,2,3,1,4,4,1,6,6,5,6,4,5,6,3,6,3,3,3
"18",6,5,5,2,2,4,4,5,4,1,1,2,1,4,5,4,1,3,1
"19",6,4,4,5,3,1,1,6,4,3,4,1,5,3,1,1,4,2,6
"20",5,1,1,5,1,2,4,1,3,5,2,2,2,3,4,6,3,2,5
"21",4,1,4,3,1,6,6,5,6,6,3,2,3,5,4,3,6,6,3
"22",6,1,6,1,3,5,3,2,3,6,1,5,5,4,2,3,2,2,4
"23",5,6,6,5,3,2,2,3,6,1,3,5,3,6,3,2,3,4,1
"24",6,2,2,4,3,5,6,2,6,4,5,1,6,2,6,2,3,4,3
"25",4,3,3,6,1,3,1,2,4,6,5,3,4,5,5,1,1,1,2
"26",3,3,6,1,6,2,6,3,3,5,4,1,1,2,5,5,3,6,4
"27",3,2,5,6,4,1,5,5,1,6,5,4,1,3,3,3,5,1,1
"28",2,6,2,2,4,6,4,2,4,6,3,6,4,3,6,6,4,6,2
"29",4,4,2,5,6,5,3,3,2,3,6,2,2,6,6,6,5,3,1
"30",3,1,5,2,6,4,1,1,6,3,4,5,2,3,4,1,6,4,2
"31",2,5,3,2,1,1,3,4,2,2,6,1,6,4,4,3,2,6,2
"32",5,2,2,4,5,5,2,6,4,6,4,1,1,5,3,5,1,4,5
"33",6,1,1,4,6,2,1,5,2,2,3,4,3,3,6,3,2,6,3
"34",2,4,1,4,1,2,6,6,4,4,1,5,3,4,2,5,6,4,1
"35",5,4,6,3,1,4,2,4,1,5,6,4,3,1,6,1,4,5,5
"36",1,5,5,5,2,5,6,6,2,6,4,3,4,3,6,4,2,4,6
"37",2,5,6,4,3,4,5,1,5,5,6,1,2,6,1,2,5,3,4
"38",1,3,2,5,4,1,2,5,6,2,5,3,2,1,5,4,6,5,4
"39",1,3,5,1,1,2,5,3,6,3,2,3,6,3,1,3,1,4,5
"40",3,6,4,4,1,5,3,2,6,2,5,4,1,2,2,5,3,1,6
"41",5,1,3,3,4,6,5,6,3,3,6,6,1,1,1,4,3,4,2
"42",6,5,4,6,5,1,5,2,6,5,6,5,3,4,4,4,2,5,5
"43",4,6,4,6,5,4,3,6,1,1,2,5,6,2,5,5,5,4,4
"44",3,4,4,3,2,2,5,2,3,1,3,4,5,1,6,1,6,2,1
"45",1,2,4,4,6,6,4,4,1,2,5,5,4,6,5,2,1,2,5
"46",4,3,3,3,6,2,2,1,2,6,3,6,6,1,2,4,5,3,6
"47",5,5,1,6,2,6,2,3,1,5,4,4,6,4,1,3,6,3,3
"48",6,4,5,5,6,6,5,4,5,4,1,4,4,1,3,6,6,2,4
"49",2,2,3,6,5,3,6,2,5,1,1,3,1,4,6,3,4,3,6
"50",3,2,2,2,1,5,1,5,2,1,1,2,4,2,3,2,5,3,5
"51",5,6,1,2,5,3,6,1,1,4,5,4,4,2,3,4,1,4,1
"52",3,6,4,1,4,1,2,1,1,4,2,3,1,5,6,2,2,3,3
"53",1,1,2,3,2,1,3,2,2,4,4,5,1,6,2,1,3,5,4
"54",2,4,5,2,5,2,1,3,3,1,6,6,3,3,1,5,1,2,4
"55",4,4,5,6,4,6,3,1,4,2,2,2,2,1,2,2,1,6,3
"56",3,5,2,6,4,3,6,5,3,2,3,2,6,6,2,6,2,1,4
"57",1,6,2,4,6,3,4,4,2,6,1,2,3,2,1,1,3,2,3
"58",2,4,1,1,3,4,3,5,5,5,3,5,2,1,4,2,1,1,6
"59",5,3,4,2,5,1,5,6,3,5,1,3,6,6,5,2,4,5,2
"60",4,2,6,4,2,1,6,4,5,2,4,6,5,1,4,6,1,3,3
