"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1",3,1,4,1,1,4,2,3,6,2,5,1,5,5,3,6,4,1,5,3
"2",4,3,1,6,5,2,3,4,6,6,5,6,1,3,6,4,3,5,5,5
"3",2,1,3,4,6,2,1,6,4,5,6,4,6,4,4,2,2,4,6,2
"4",6,3,5,5,2,1,4,4,5,5,2,1,4,6,5,1,5,4,2,2
"5",3,5,3,1,2,6,3,2,5,3,1,6,6,2,6,1,2,3,4,4
"6",3,3,4,6,3,6,6,4,6,1,6,1,2,2,4,3,2,4,2,6
"7",5,4,1,5,4,1,6,6,3,3,6,1,6,4,2,4,4,2,5,5
"8",4,3,1,5,6,6,2,3,1,2,3,3,1,6,1,2,1,4,4,3
"9",1,5,1,5,2,4,3,6,5,3,4,6,4,6,2,3,2,1,2,2
"10",3,6,1,4,1,4,6,3,4,6,1,3,2,4,6,4,5,1,3,6
"11",4,5,5,2,6,5,5,2,3,4,6,2,5,6,5,2,3,1,6,4
"12",5,3,1,3,1,6,3,3,3,5,4,2,6,2,4,6,6,6,5,2
"13",6,2,5,4,6,1,3,3,1,3,5,2,4,2,1,4,5,5,2,6
"14",6,4,3,4,4,5,6,1,4,3,2,4,1,2,5,6,1,5,6,2
"15",4,4,5,2,2,6,4,6,6,2,3,4,2,4,2,5,6,6,6,5
"16",4,1,1,2,5,4,4,1,4,3,1,1,3,4,4,1,2,5,1,6
"17",4,3,6,1,5,3,6,1,5,6,4,1,1,1,3,5,5,3,4,3
"18",3,2,5,6,5,4,1,4,2,6,1,2,6,3,2,5,1,3,3,2
"19",1,4,2,3,6,2,5,3,2,2,6,4,4,1,4,6,1,2,3,6
"20",5,2,4,2,3,1,3,3,2,6,1,3,1,6,3,6,2,2,6,4
"21",3,5,6,3,3,3,2,4,3,6,5,4,6,6,1,1,5,6,4,6
"22",1,1,3,6,4,4,5,2,5,4,6,3,3,6,2,6,6,6,4,4
"23",6,5,2,2,2,1,1,2,2,2,3,1,2,4,3,4,3,6,3,1
"24",4,1,2,5,2,3,2,6,3,2,1,5,2,1,3,6,5,4,1,4
"25",3,4,2,1,3,3,5,5,2,4,5,2,1,5,6,2,6,5,1,2
"26",1,2,3,2,5,1,6,5,3,2,1,3,5,2,6,3,4,6,5,3
"27",5,2,6,4,6,6,5,5,4,2,1,6,5,6,4,4,6,3,3,3
"28",6,1,4,4,4,5,3,1,2,6,6,4,2,5,6,3,4,3,1,1
"29",1,5,4,2,1,1,2,5,4,6,6,6,3,2,5,5,6,3,3,3
"30",2,5,4,3,5,6,3,6,1,5,3,1,4,5,6,6,3,5,2,5
"31",6,6,1,2,3,3,4,4,1,1,4,5,6,3,5,5,3,1,1,3
"32",2,5,6,5,4,2,3,3,4,1,1,1,3,2,2,2,6,2,6,2
"33",2,5,2,6,6,5,4,2,3,6,4,5,5,1,3,1,4,6,2,3
"34",5,6,4,5,1,2,5,5,1,5,1,4,3,3,2,2,1,6,3,4
"35",4,2,3,6,1,3,4,5,3,1,3,2,4,5,6,5,1,2,4,1
"36",6,4,5,6,4,4,1,5,2,1,4,5,3,6,5,2,4,5,5,6
"37",4,3,6,1,1,2,3,6,2,4,4,3,5,2,4,1,1,2,1,5
"38",5,1,4,6,3,2,4,2,6,3,3,4,6,1,5,2,6,1,3,5
"39",5,6,2,4,3,4,1,5,5,4,2,2,5,1,1,5,3,4,6,6
"40",5,6,3,1,5,5,2,5,6,1,6,3,4,3,3,1,5,4,3,1
"41",3,1,5,3,5,1,6,5,4,1,4,5,1,4,2,1,3,1,2,4
"42",3,2,4,2,3,4,2,1,1,1,6,6,4,1,2,4,2,5,5,2
"43",1,2,2,4,3,6,1,4,1,3,4,1,2,3,5,1,5,2,6,4
"44",5,4,6,6,3,6,1,2,4,5,5,4,3,4,1,6,2,1,2,3
"45",6,6,3,3,6,4,1,2,3,4,3,6,1,2,2,3,5,2,1,5
"46",3,4,2,5,5,1,2,1,1,5,2,5,5,5,4,3,6,2,4,1
"47",6,2,2,1,2,5,6,4,4,6,5,5,5,5,3,3,1,5,4,5
"48",2,5,6,5,4,3,2,1,5,2,5,3,5,3,6,4,1,6,1,4
"49",5,3,1,3,1,2,5,1,5,2,5,5,3,3,1,1,4,3,6,2
"50",2,1,6,5,2,3,6,2,1,4,3,6,4,4,5,5,3,4,6,6
"51",2,3,1,1,5,2,1,2,5,1,2,4,3,6,5,5,4,3,2,5
"52",1,6,3,4,2,1,4,1,6,5,4,2,2,5,3,2,1,3,5,5
"53",1,6,6,1,6,3,4,4,3,3,3,5,2,5,1,5,2,4,5,1
"54",4,6,4,4,4,2,6,3,6,4,2,6,6,5,3,6,4,5,1,1
"55",2,1,2,2,4,6,5,4,6,5,3,3,4,1,1,4,3,2,1,1
"56",2,3,3,1,4,5,4,6,2,5,2,6,3,3,1,3,6,1,5,6
"57",2,6,5,6,2,5,5,6,1,3,5,3,1,1,4,4,4,3,4,1
"58",1,4,5,3,1,5,5,1,2,1,2,2,6,4,1,3,5,4,2,4
"59",6,4,5,3,6,3,2,6,6,4,2,2,2,1,6,3,2,1,4,3
"60",1,2,6,3,1,5,1,3,5,4,2,5,1,3,4,2,3,6,3,1
