"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22"
"1",5,4,2,6,3,6,5,6,6,5,2,4,4,2,1,1,5,5,2,3,3,3
"2",6,3,1,3,1,5,5,6,4,3,5,2,6,4,2,4,5,3,2,5,6,1
"3",3,6,5,2,4,2,2,6,4,4,3,4,2,5,3,6,1,1,1,6,4,1
"4",4,3,2,2,5,1,3,4,3,4,5,6,6,1,6,5,2,5,2,1,6,4
"5",2,3,5,3,6,2,1,5,2,4,4,3,2,1,5,1,5,6,4,5,1,2
"6",6,5,6,4,5,2,4,4,2,3,1,5,5,3,1,4,6,2,1,4,1,5
"7",4,5,3,4,2,3,6,5,3,6,5,6,6,5,2,1,2,1,5,6,4,4
"8",3,2,1,5,4,2,1,5,5,2,4,6,2,4,1,1,3,2,2,2,2,5
"9",1,2,3,1,5,4,4,5,5,1,2,3,3,3,2,6,6,6,1,2,4,2
"10",2,3,4,6,3,3,6,6,3,2,2,6,1,6,6,4,6,5,3,6,3,3
"11",6,1,5,4,6,3,6,4,6,1,2,4,4,5,3,2,2,3,3,1,6,2
"12",6,1,3,3,6,6,3,1,4,6,1,6,3,2,5,6,4,3,3,6,3,3
"13",5,4,3,6,4,6,2,3,2,1,4,2,4,3,6,3,3,1,1,6,1,1
"14",6,2,2,5,1,2,4,5,1,4,2,5,2,4,5,5,1,3,6,5,4,2
"15",5,2,4,1,5,5,2,6,2,3,3,5,4,1,2,1,1,4,6,4,5,5
"16",4,4,4,5,2,6,1,3,6,1,3,6,6,6,4,6,3,6,2,4,5,4
"17",3,4,1,2,1,1,4,2,5,1,3,5,5,3,5,2,6,2,5,6,5,3
"18",3,6,5,2,6,4,2,2,5,5,5,1,6,2,2,2,5,3,1,3,3,5
"19",2,4,2,1,3,5,3,4,6,6,2,2,1,1,2,5,3,2,4,5,5,6
"20",1,4,1,4,4,5,1,4,2,5,6,5,4,6,4,6,6,2,5,3,3,1
"21",4,1,2,5,4,4,3,1,1,2,6,4,6,2,4,2,6,6,4,5,2,5
"22",5,1,6,1,1,3,3,4,6,4,6,2,4,6,6,1,3,2,2,4,3,3
"23",4,6,6,6,1,1,3,4,5,1,5,4,3,2,2,3,2,6,5,3,3,1
"24",1,6,3,3,2,5,6,4,1,2,4,6,2,1,4,2,3,2,1,3,6,3
"25",6,3,3,6,4,1,1,4,5,5,3,1,5,5,3,5,4,4,6,6,2,6
"26",6,4,4,2,4,2,6,3,4,6,4,2,3,5,5,1,6,6,6,2,5,5
"27",1,5,5,5,1,5,4,1,2,1,3,2,3,5,1,1,4,4,3,5,4,6
"28",2,2,4,5,5,6,5,2,6,4,1,1,2,4,3,3,6,1,5,4,6,4
"29",5,5,2,5,5,2,2,2,1,3,3,1,2,3,1,6,5,6,3,3,5,2
"30",4,2,6,3,3,1,6,1,5,3,1,1,4,1,4,3,2,5,1,6,4,4
"31",3,1,1,3,1,3,1,2,2,5,2,4,3,6,2,3,4,5,1,3,6,6
"32",5,6,1,5,2,3,5,2,4,6,3,3,2,1,6,2,2,3,4,4,1,6
"33",3,5,5,5,5,5,6,5,6,2,5,3,5,1,6,5,4,3,6,4,2,2
"34",1,6,1,5,3,3,4,6,4,4,1,6,5,2,3,4,4,6,6,1,4,5
"35",4,1,1,1,6,1,6,6,3,5,3,2,1,3,4,3,4,1,5,3,2,4
"36",6,4,4,1,1,4,1,1,4,3,4,5,1,1,3,3,6,4,2,1,2,2
"37",5,6,3,3,3,1,3,1,1,4,2,3,6,6,3,1,4,1,3,2,2,1
"38",1,3,6,6,5,1,4,3,3,6,6,5,1,3,3,2,4,3,2,5,5,1
"39",2,5,1,1,6,6,6,3,1,4,5,4,4,4,3,4,2,6,3,6,2,5
"40",2,5,4,4,3,4,1,5,3,6,1,1,5,4,6,2,1,4,2,4,6,1
"41",5,3,5,2,3,6,5,2,3,2,6,6,2,4,2,5,4,1,5,1,3,6
"42",6,6,6,1,2,4,4,1,2,5,5,3,5,3,4,6,3,5,5,5,6,3
"43",5,6,3,4,6,4,3,5,5,3,6,5,1,5,6,3,5,5,4,5,6,6
"44",4,2,5,6,2,4,2,6,1,6,5,3,3,2,4,4,6,2,3,1,5,6
"45",3,1,3,2,2,2,5,5,3,1,6,1,3,2,3,6,1,4,3,4,1,6
"46",1,2,3,2,3,2,2,1,6,6,4,5,5,5,1,4,2,5,4,4,1,2
"47",2,4,4,3,6,2,4,6,1,2,6,1,5,6,1,3,3,4,5,1,5,3
"48",2,5,4,4,2,1,5,3,6,5,6,4,2,4,5,6,5,4,1,1,1,4
"49",1,2,2,6,6,4,5,1,4,3,4,3,5,6,5,5,1,2,2,3,5,5
"50",3,3,4,6,1,3,6,2,2,4,1,2,6,1,1,6,3,2,4,2,3,2
"51",1,3,6,3,2,6,3,6,5,3,2,4,6,3,5,3,1,1,3,2,2,6
"52",5,2,5,4,4,5,4,4,2,6,4,2,1,6,2,5,1,6,1,2,2,4
"53",4,3,2,2,5,4,5,3,5,2,1,3,1,6,1,2,3,4,6,5,1,1
"54",2,1,2,4,2,6,2,3,4,3,5,1,1,3,5,1,2,5,6,1,4,2
"55",1,4,5,1,4,1,2,2,1,1,1,3,1,4,6,4,2,3,5,3,3,5
"56",2,1,6,4,3,3,1,3,4,1,4,4,4,2,1,5,5,1,6,6,6,4
"57",4,6,2,2,1,5,2,5,3,2,1,1,4,5,5,5,5,3,4,1,1,4
"58",3,5,6,6,6,5,3,2,3,5,2,6,3,4,4,2,1,5,6,2,1,3
"59",6,5,1,3,5,3,1,1,6,2,6,2,3,2,4,4,1,1,4,2,4,3
"60",3,1,6,1,4,6,5,3,1,5,3,5,6,5,6,4,5,4,4,2,4,1
