"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32"
"1",1,5,4,3,5,5,6,3,5,3,6,2,4,3,3,1,2,4,2,6,3,5,1,4,6,1,2,1,5,6,4,1
"2",6,2,1,1,2,5,2,3,4,2,5,6,1,6,4,2,1,3,3,1,3,3,2,4,4,2,4,2,2,2,1,6
"3",6,2,2,4,4,5,6,1,1,1,1,4,6,2,1,4,3,5,6,2,2,6,3,3,3,3,2,4,5,4,1,2
"4",1,4,4,1,6,3,4,1,4,6,4,5,6,2,4,4,1,1,1,2,6,3,3,3,5,5,6,1,5,1,3,4
"5",4,4,2,1,5,2,1,4,6,2,4,6,4,6,3,4,2,5,3,6,1,6,3,2,2,5,6,5,2,5,5,2
"6",6,5,3,6,6,1,6,3,4,5,5,3,3,5,1,4,3,2,2,3,5,1,5,5,1,5,6,4,3,3,1,1
"7",4,4,5,4,5,1,6,5,6,1,3,4,2,1,1,2,5,3,4,1,3,4,1,1,4,4,5,5,6,1,3,1
"8",4,3,1,1,3,1,5,2,2,3,2,1,3,2,3,2,1,2,5,3,6,3,2,2,1,6,3,3,1,1,5,2
"9",1,2,4,1,3,1,6,3,6,3,3,6,3,3,2,6,6,4,3,5,2,5,4,6,3,6,1,4,6,2,1,4
"10",4,4,6,2,3,3,6,6,3,1,1,6,1,3,6,3,2,1,2,5,4,3,6,4,3,4,5,2,3,6,6,1
"11",2,3,6,1,4,2,3,6,4,6,5,4,6,4,6,4,6,5,6,3,2,4,1,5,3,6,2,3,2,3,6,6
"12",4,3,1,4,6,4,5,6,1,6,4,2,2,3,3,2,6,5,1,2,4,6,6,6,2,2,2,6,3,3,2,3
"13",1,5,5,6,6,6,1,5,2,3,5,5,6,2,4,6,3,2,4,1,3,5,6,5,3,4,3,6,3,2,4,5
"14",6,4,2,2,3,6,5,2,3,6,4,2,2,5,4,5,5,6,6,5,1,1,2,5,4,3,4,1,6,2,5,3
"15",5,6,1,4,4,1,2,4,1,3,3,5,5,1,5,3,3,6,4,6,4,2,1,4,5,6,6,2,6,3,2,5
"16",6,6,4,5,2,6,4,5,1,6,2,5,3,2,3,4,6,3,1,2,1,3,6,3,5,6,4,3,2,6,4,2
"17",5,1,6,1,3,1,3,5,2,5,6,3,3,1,4,1,3,6,2,1,2,2,5,1,6,3,3,4,4,5,5,4
"18",4,1,6,6,1,5,1,2,1,4,5,1,5,4,3,5,4,3,4,4,2,4,3,6,6,5,6,3,5,5,1,2
"19",2,6,1,4,2,1,6,4,4,1,2,3,5,6,4,5,2,3,4,4,6,6,5,6,6,3,2,2,2,3,6,4
"20",3,3,6,3,2,5,5,4,3,5,5,4,4,2,4,1,2,1,6,5,2,6,2,2,1,2,6,6,4,1,1,4
"21",2,4,6,5,3,6,2,2,6,3,3,3,4,6,2,4,6,1,4,1,4,2,2,1,5,2,2,1,3,1,2,2
"22",2,1,2,4,3,6,3,1,5,6,3,4,1,4,4,1,3,6,3,4,4,6,4,5,4,6,5,5,1,1,6,1
"23",5,6,5,6,5,2,1,2,3,4,4,4,3,4,6,1,1,1,3,1,4,5,4,2,3,2,1,1,6,3,5,2
"24",3,2,6,6,5,2,4,2,6,3,2,1,5,3,6,2,5,6,3,3,5,6,6,3,6,3,4,4,2,6,2,5
"25",1,1,3,3,4,4,4,5,2,5,3,5,4,5,6,6,1,1,5,5,1,2,4,4,6,3,1,5,1,5,2,2
"26",3,5,3,5,2,3,3,5,5,6,6,5,6,4,1,6,1,6,4,5,2,4,6,1,1,2,3,2,4,4,3,1
"27",3,2,1,6,2,4,5,6,6,4,2,4,4,2,6,6,3,4,2,1,2,2,1,4,3,1,6,3,5,2,6,3
"28",1,6,5,4,5,4,3,6,2,1,5,6,2,6,4,5,6,4,2,4,6,2,1,3,1,1,4,4,4,4,1,3
"29",5,6,4,1,4,5,1,4,6,6,3,1,1,1,5,4,3,2,4,4,3,3,3,6,2,1,2,4,1,4,6,1
"30",1,2,3,6,5,6,2,1,3,4,1,3,2,2,2,3,3,5,2,6,3,1,1,1,2,4,5,2,2,5,2,4
"31",5,5,3,2,4,6,6,4,5,5,1,3,6,4,3,6,5,2,2,4,6,5,1,1,4,6,3,5,4,5,6,5
"32",6,1,2,2,1,4,2,5,2,5,3,1,5,1,2,4,2,4,2,4,5,5,6,4,2,4,1,1,4,1,3,5
"33",4,2,5,2,6,6,4,2,6,4,6,6,1,3,2,5,5,4,6,2,5,4,5,3,1,3,5,1,1,4,5,4
"34",6,1,4,5,2,2,4,2,5,2,4,6,6,1,5,3,5,3,1,4,4,1,3,1,2,2,2,6,1,3,5,3
"35",4,5,6,3,6,2,4,1,3,4,1,1,6,6,5,3,6,4,5,6,3,2,5,4,2,5,1,6,4,3,3,1
"36",3,5,1,2,6,4,1,3,5,5,1,6,5,3,1,1,4,3,6,2,1,2,4,2,6,4,1,3,2,2,4,3
"37",2,1,1,3,4,5,5,1,2,2,6,5,4,5,5,2,5,2,1,4,3,5,6,1,2,6,4,2,6,3,3,3
"38",1,3,3,3,1,2,1,4,3,1,6,3,2,3,3,3,4,5,5,3,2,5,5,6,5,1,6,1,1,2,2,1
"39",3,4,1,4,4,1,3,1,6,4,5,2,2,1,2,5,2,2,6,5,3,3,6,5,4,2,2,5,4,6,1,6
"40",5,5,5,6,3,4,5,2,4,5,2,5,4,5,2,1,1,5,1,1,1,4,3,6,4,4,5,6,1,4,3,6
"41",4,2,4,5,2,5,1,4,5,2,1,5,2,4,5,3,1,6,6,2,6,2,5,5,1,5,1,4,5,5,3,4
"42",2,6,6,3,1,6,2,2,4,1,5,2,2,1,1,2,4,6,1,4,1,3,4,3,3,4,2,4,5,3,5,6
"43",6,3,2,6,6,5,3,6,4,3,3,3,5,4,5,2,6,2,5,6,1,3,5,3,4,1,6,1,5,4,5,6
"44",5,2,4,5,6,3,2,4,5,1,1,1,3,5,5,5,4,1,1,3,1,5,1,4,1,3,3,3,2,1,1,4
"45",3,1,5,2,5,4,3,6,4,1,2,2,3,3,1,4,1,1,3,5,4,1,2,6,6,4,4,6,6,2,4,6
"46",4,2,6,4,4,3,2,3,3,4,6,1,6,5,2,6,1,5,1,6,6,3,4,3,5,1,5,5,3,1,6,3
"47",2,4,5,1,1,1,5,5,2,4,1,4,5,6,2,1,4,6,3,5,4,1,4,3,2,1,3,2,2,4,2,6
"48",5,1,5,3,1,2,5,3,4,6,2,6,2,6,1,3,4,2,5,6,5,6,1,5,4,2,4,3,5,5,4,2
"49",1,5,4,5,3,2,3,3,1,5,1,3,1,2,6,6,5,3,5,5,5,6,5,2,2,3,5,3,6,2,4,6
"50",3,6,4,1,4,5,4,6,1,2,4,1,3,5,2,3,3,4,6,2,6,6,4,1,5,2,6,3,1,6,3,5
"51",2,4,3,6,1,3,2,3,1,2,4,6,3,2,1,2,6,1,6,6,5,4,2,4,5,5,3,5,1,4,6,4
"52",6,6,2,5,2,4,4,5,6,4,6,2,1,5,6,2,4,5,4,6,4,5,3,2,6,5,1,4,3,2,2,5
"53",1,1,2,5,5,3,4,5,3,5,4,2,4,4,1,1,5,3,5,1,6,2,3,5,1,5,4,2,5,6,6,5
"54",2,3,1,3,3,2,1,6,3,6,2,3,1,5,5,5,2,4,1,3,5,4,2,2,5,5,3,6,6,6,1,3
"55",3,5,2,2,2,1,2,1,1,1,3,2,6,4,6,3,4,3,2,2,2,4,2,5,1,1,5,6,4,5,4,5
"56",2,4,3,2,1,6,6,3,5,2,4,2,5,1,5,6,2,4,5,1,5,1,5,2,4,6,4,6,3,4,2,2
"57",5,3,3,5,5,3,6,1,2,2,2,5,1,6,3,5,4,5,5,3,3,1,6,2,6,1,3,5,4,1,4,6
"58",6,3,3,3,6,4,3,1,2,2,5,4,4,1,6,6,5,6,3,3,6,4,2,6,5,4,1,2,3,6,5,1
"59",3,3,5,4,1,3,5,4,1,3,6,1,1,6,4,5,2,2,3,2,1,1,3,1,3,6,1,1,3,5,4,5
"60",5,6,2,2,1,3,1,6,5,3,6,4,5,3,3,1,6,1,4,3,5,1,4,6,3,3,5,5,6,6,3,3
