"","V1","V2","V3","V4","V5","V6"
"1",3,6,5,1,2,2
"2",5,2,5,3,6,1
"3",4,1,5,6,3,5
"4",2,6,3,6,1,4
"5",1,6,4,3,5,3
"6",1,4,6,3,2,3
"7",2,5,6,5,6,5
"8",5,3,4,5,1,4
"9",2,3,1,4,1,2
"10",3,2,1,1,5,5
"11",2,1,4,5,2,1
"12",5,3,3,6,5,6
"13",1,2,5,2,1,5
"14",4,5,4,2,3,5
"15",6,5,4,6,3,2
"16",6,2,6,4,2,6
"17",5,1,3,1,1,3
"18",4,1,6,2,5,2
"19",4,5,6,4,1,1
"20",5,6,1,3,2,5
"21",3,4,2,2,1,6
"22",4,3,4,1,6,6
"23",3,2,4,4,4,3
"24",1,1,2,4,6,4
"25",3,2,2,3,3,1
"26",1,5,1,5,3,6
"27",2,3,6,1,3,4
"28",2,5,2,2,6,2
"29",6,4,3,4,6,5
"30",6,3,1,2,3,1
"31",4,6,2,5,5,1
"32",4,2,2,6,2,4
"33",6,6,5,2,5,4
"34",1,4,3,1,4,1
"35",6,1,1,5,4,3
"36",5,5,2,1,4,4
"37",3,6,5,4,4,6
"38",1,3,5,6,5,2
"39",2,1,3,3,4,6
"40",6,4,3,3,2,2
"41",3,4,1,6,6,3
"42",5,4,6,5,4,3
