"","V1","V2","V3","V4"
"1",6,3,6,5
"2",6,3,5,4
"3",1,2,1,3
"4",3,5,3,6
"5",6,1,2,3
"6",4,2,6,2
"7",4,3,2,4
"8",2,2,6,5
"9",3,1,6,3
"10",4,4,4,5
"11",1,3,2,6
"12",1,1,3,5
"13",6,2,4,6
"14",5,4,3,6
"15",5,4,6,3
"16",4,2,5,4
"17",6,5,6,2
"18",6,6,3,3
"19",2,6,3,1
"20",2,6,1,5
"21",1,6,4,4
"22",2,2,2,1
"23",1,5,5,3
"24",3,1,1,1
"25",2,1,5,6
"26",6,5,1,6
"27",6,2,3,2
"28",4,6,6,6
"29",1,3,6,1
"30",3,4,1,3
"31",3,2,3,4
"32",3,5,2,5
"33",2,4,1,4
"34",1,4,5,6
"35",6,4,2,1
"36",2,5,6,4
"37",4,5,4,3
"38",4,6,1,2
"39",3,6,5,1
"40",4,1,2,6
"41",5,1,5,1
"42",2,4,4,2
"43",1,1,4,2
"44",2,3,3,3
"45",5,5,4,1
"46",3,3,4,5
"47",3,4,5,2
"48",5,6,2,4
"49",1,5,2,2
"50",4,3,3,1
"51",5,2,1,5
"52",5,1,4,4
"53",5,3,1,2
"54",5,6,5,5
