"","V1","V2","V3","V4","V5"
"1",3,1,1,3,1
"2",2,3,3,1,3
"3",2,1,2,2,2
"4",2,2,2,1,2
"5",3,2,3,2,3
"6",1,3,1,3,2
"7",1,3,3,3,3
"8",1,3,2,1,2
"9",3,1,1,2,2
"10",2,2,1,2,2
"11",3,3,3,1,2
"12",1,3,3,2,1
"13",3,3,1,3,3
"14",1,1,3,3,2
"15",2,3,2,3,1
"16",1,1,2,3,1
"17",1,1,3,1,3
"18",2,2,3,2,2
"19",1,3,1,1,3
"20",3,2,2,3,2
"21",1,2,2,2,3
"22",1,1,1,1,1
"23",2,1,1,1,2
"24",3,1,3,3,3
"25",1,2,2,2,2
"26",3,2,2,2,1
"27",2,2,3,3,2
"28",2,2,1,3,3
"29",3,3,3,3,1
"30",3,2,1,1,3
"31",2,1,3,2,1
"32",1,2,1,3,1
"33",2,2,2,1,1
"34",3,1,2,1,3
"35",1,2,3,1,1
"36",2,3,2,2,3
"37",2,1,2,3,3
"38",3,3,2,2,2
"39",3,1,3,1,1
"40",3,3,1,1,1
"41",2,3,1,2,1
"42",1,1,1,2,3
