"","V1","V2","V3","V4","V5","V6","V7"
"1",3,3,1,1,2,2,3
"2",1,1,3,1,2,3,1
"3",1,2,1,3,2,3,1
"4",1,2,2,3,2,2,3
"5",3,3,3,3,2,3,2
"6",1,2,3,3,1,1,1
"7",1,3,2,1,1,2,1
"8",2,1,3,3,2,1,3
"9",2,2,3,2,1,2,2
"10",3,1,2,1,3,3,2
"11",2,2,1,1,3,2,1
"12",1,2,2,1,2,2,2
"13",3,1,1,3,3,3,3
"14",1,3,2,2,2,1,1
"15",2,1,3,1,3,2,3
"16",2,2,1,3,1,2,3
"17",2,1,3,2,2,2,2
"18",1,1,1,2,3,2,1
"19",1,3,1,1,3,3,2
"20",2,1,1,2,1,3,2
"21",3,1,2,2,1,1,2
"22",2,3,2,1,2,3,3
"23",3,3,2,3,1,1,3
"24",1,2,2,1,3,1,3
"25",3,1,1,1,2,1,1
"26",1,1,3,2,3,1,2
"27",2,2,3,2,3,3,1
"28",2,3,1,2,3,1,3
"29",2,2,2,1,1,3,1
"30",2,3,2,3,3,3,1
"31",3,2,1,2,2,2,2
"32",3,2,2,2,3,2,2
"33",2,3,3,1,1,1,2
"34",2,1,2,3,3,1,1
"35",3,2,2,2,2,2,1
"36",3,3,3,1,3,1,1
"37",3,1,3,3,1,2,1
"38",1,1,1,1,1,1,3
"39",3,2,3,1,1,3,3
"40",3,2,3,2,2,1,3
"41",1,3,3,2,1,3,3
"42",1,3,1,3,2,1,2
"43",1,3,3,3,3,2,3
"44",3,2,1,3,3,1,2
"45",1,1,2,3,1,3,2
"46",3,3,1,2,1,3,1
"47",2,1,2,2,2,3,3
"48",2,3,1,3,1,2,2
