"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",2,1,1,3,2,2,1,1,1,2,3,3
"2",3,2,3,3,3,1,2,2,3,2,3,1
"3",1,2,2,2,2,1,1,1,3,1,1,3
"4",3,3,1,3,1,2,2,2,3,1,1,2
"5",1,3,3,3,3,3,2,1,2,3,2,2
"6",1,1,1,2,2,3,3,3,3,2,2,1
"7",2,3,3,2,2,2,1,3,1,3,1,1
"8",2,3,2,3,1,1,3,3,2,3,2,3
"9",3,1,3,1,2,3,3,2,2,2,1,3
"10",3,1,2,2,1,1,2,1,1,3,2,1
"11",2,2,1,1,1,3,1,2,3,3,3,2
"12",1,1,3,1,1,2,2,3,2,1,3,2
"13",1,2,1,1,3,1,3,2,1,2,1,2
"14",3,2,2,2,3,3,1,3,1,1,2,3
"15",2,3,2,1,3,2,3,1,2,1,3,1
