"","V1","V2","V3","V4"
"1",1,2,2,1
"2",2,2,1,3
"3",3,1,2,2
"4",1,2,4,4
"5",2,1,3,1
"6",2,1,2,4
"7",3,3,1,2
"8",4,4,1,2
"9",3,2,4,1
"10",1,2,3,2
"11",1,4,2,2
"12",3,4,4,3
"13",4,3,3,1
"14",4,4,3,3
"15",2,1,4,3
"16",3,1,3,4
"17",3,3,1,1
"18",4,1,1,3
"19",1,3,2,3
"20",1,3,4,1
"21",2,2,1,1
"22",4,2,2,4
"23",4,3,2,3
"24",3,2,4,3
"25",1,3,1,4
"26",3,4,2,4
"27",3,4,3,1
"28",4,2,3,2
"29",2,4,4,2
"30",1,1,3,3
"31",4,1,2,1
"32",4,3,4,4
"33",1,4,3,4
"34",2,3,3,4
"35",2,4,1,3
"36",1,1,1,2
"37",3,2,1,4
"38",4,1,4,2
"39",2,3,4,2
"40",2,4,2,1
