"","V1","V2","V3"
"1",1,2,1
"2",1,2,3
"3",1,3,4
"4",4,3,4
"5",5,1,1
"6",3,2,5
"7",5,5,4
"8",2,3,3
"9",5,4,5
"10",4,5,5
"11",3,3,4
"12",1,1,2
"13",4,3,1
"14",3,2,2
"15",4,4,3
"16",4,1,5
"17",4,5,3
"18",4,3,2
"19",3,4,1
"20",2,5,1
"21",3,4,4
"22",3,2,4
"23",2,4,3
"24",5,4,2
"25",2,2,3
"26",1,5,2
"27",2,3,5
"28",3,4,3
"29",2,3,2
"30",5,5,1
"31",1,4,1
"32",1,1,5
"33",2,5,5
"34",2,1,1
"35",1,4,5
"36",5,2,3
"37",5,1,4
"38",3,5,2
"39",4,1,3
"40",5,2,5
"41",4,2,1
"42",3,1,2
"43",2,1,4
"44",1,5,4
"45",5,3,2
