"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23"
"1",6,3,6,6,2,6,5,2,3,1,1,2,1,4,3,3,4,1,3,4,4,5,6
"2",5,6,2,2,6,6,5,1,3,2,4,3,3,1,3,6,2,5,4,2,6,4,2
"3",4,2,4,6,3,1,5,6,3,3,2,3,5,1,2,4,6,2,6,1,5,5,2
"4",2,3,1,2,5,3,2,5,2,6,6,6,5,2,3,2,3,6,5,1,3,3,2
"5",5,6,6,3,6,6,4,6,3,3,1,6,6,4,5,2,1,3,1,4,4,3,3
"6",4,1,1,4,1,2,6,5,6,4,4,1,3,3,3,1,1,2,4,4,4,1,1
"7",5,2,3,5,2,3,6,1,2,6,2,3,2,6,5,2,3,6,5,6,2,4,3
"8",3,4,5,6,6,4,6,5,2,6,6,4,2,6,3,1,6,3,3,4,6,2,4
"9",2,1,2,1,2,5,6,3,5,2,1,3,6,2,1,5,2,3,3,5,3,3,2
"10",3,1,2,6,4,6,3,4,1,2,1,5,5,5,1,3,5,6,2,3,1,4,3
"11",3,5,4,1,4,5,1,1,3,3,6,4,1,6,6,4,2,6,2,4,5,3,6
"12",1,2,5,2,1,4,4,3,1,2,3,6,4,6,5,1,2,1,4,4,5,4,1
"13",6,4,4,5,2,2,1,4,6,2,4,6,1,5,2,2,4,4,5,5,6,3,1
"14",4,4,1,6,4,4,4,6,6,5,3,3,6,3,2,6,3,6,1,5,2,2,6
"15",6,3,2,4,5,6,4,5,5,5,2,4,5,6,6,5,4,4,6,3,5,6,1
"16",6,1,3,1,2,3,3,6,4,3,6,2,4,6,2,1,4,5,2,2,1,2,4
"17",2,6,4,2,2,6,3,1,6,6,5,5,5,5,2,3,3,2,5,5,4,6,3
"18",4,1,3,5,6,5,2,4,2,4,5,1,6,3,2,5,4,1,4,6,6,6,4
"19",6,3,5,1,4,1,4,4,6,6,6,2,1,1,6,4,2,3,3,6,3,4,3
"20",4,5,6,3,4,4,5,6,1,5,5,1,1,5,1,4,3,1,5,2,2,3,2
"21",2,2,2,3,3,1,1,6,3,6,4,5,5,4,6,5,6,2,4,5,1,2,4
"22",2,5,2,5,5,2,1,2,3,1,2,1,5,1,4,1,3,4,2,5,3,1,3
"23",3,6,2,5,1,1,4,2,5,5,5,2,2,4,1,4,5,5,4,1,5,2,5
"24",6,5,3,3,4,5,6,3,6,6,3,5,4,1,5,2,5,1,2,1,6,3,4
"25",6,5,1,3,1,4,3,4,2,2,1,2,4,3,6,4,6,5,5,5,6,2,5
"26",2,2,4,5,5,6,4,3,5,2,6,3,3,2,6,2,6,1,5,3,2,1,5
"27",5,4,2,1,6,4,3,6,5,1,4,5,2,2,4,3,1,1,6,4,1,4,5
"28",6,4,3,1,5,2,2,2,3,4,1,6,3,4,1,6,5,1,4,4,3,1,1
"29",1,4,6,1,4,1,6,6,5,2,4,2,6,3,4,2,5,6,4,3,5,5,3
"30",4,2,1,3,4,3,5,1,4,1,6,5,4,5,4,5,5,2,1,6,5,1,2
"31",4,2,2,5,2,6,3,2,1,5,3,6,1,1,3,4,2,2,1,3,3,1,5
"32",2,3,3,2,1,2,4,5,2,4,2,5,1,3,2,6,1,5,2,6,6,5,4
"33",1,3,3,3,6,5,5,5,4,3,3,1,3,5,1,3,2,6,6,6,4,1,6
"34",3,4,1,2,3,5,2,3,6,1,3,1,1,6,5,5,4,3,5,1,1,5,3
"35",1,6,6,4,2,2,2,5,6,3,2,3,4,6,3,4,5,1,2,6,2,4,5
"36",1,3,5,5,3,5,2,1,2,4,4,2,6,5,5,3,6,5,3,1,3,2,1
"37",4,1,6,2,6,4,1,3,5,5,3,4,2,4,2,2,6,5,1,5,2,5,2
"38",2,3,5,2,6,3,6,1,1,5,2,1,4,3,4,5,4,2,2,3,1,6,5
"39",3,5,1,1,3,6,2,6,1,5,3,3,3,2,4,1,5,4,3,6,5,6,2
"40",4,4,5,4,5,1,6,2,5,2,3,6,5,6,2,5,1,5,3,2,1,2,4
"41",5,2,5,1,4,3,1,3,4,5,1,3,6,5,3,3,2,3,6,1,6,1,5
"42",3,6,4,2,2,1,5,5,2,4,2,4,2,2,6,3,4,3,1,2,1,1,1
"43",6,6,1,3,5,1,2,3,1,3,4,3,3,6,1,2,3,2,1,3,4,6,6
"44",1,5,3,6,5,3,3,4,5,6,1,2,2,5,4,6,1,2,1,3,5,3,2
"45",1,3,6,4,3,6,1,5,4,1,5,4,3,2,1,6,3,2,2,2,6,2,3
"46",5,5,5,4,1,3,3,3,4,6,6,1,5,2,3,5,6,6,1,4,4,5,1
"47",5,4,1,6,1,1,1,1,4,3,5,4,6,3,5,3,2,1,3,3,2,5,2
"48",5,2,4,1,1,5,5,4,4,4,5,6,3,5,4,6,6,4,2,1,3,6,6
"49",5,1,4,4,6,2,1,5,1,2,3,1,1,2,5,5,5,4,3,1,4,3,5
"50",1,5,1,4,5,2,5,1,4,4,1,5,1,3,2,1,6,3,6,2,3,4,4
"51",3,1,6,6,6,2,3,2,4,5,4,6,4,2,6,3,3,5,5,5,5,5,6
"52",2,2,2,4,3,4,5,2,6,4,5,1,5,4,6,1,1,4,1,2,6,4,5
"53",1,1,4,3,4,1,3,2,2,1,6,2,2,4,3,4,1,4,6,4,2,6,1
"54",3,4,4,4,1,5,1,4,3,6,2,2,4,1,1,2,1,3,5,2,1,5,6
"55",5,3,5,2,3,3,4,2,2,1,5,5,6,1,1,1,5,4,4,6,2,3,6
"56",1,6,3,6,5,4,6,4,3,3,5,6,2,1,5,4,4,5,3,5,2,6,1
"57",3,1,6,3,1,4,2,1,6,3,2,5,2,1,4,6,4,6,6,3,4,2,4
"58",4,6,5,5,3,3,2,6,5,1,1,4,3,4,6,1,2,6,4,1,3,6,4
"59",6,6,6,6,3,5,4,3,1,4,4,4,4,3,4,6,1,4,6,6,1,1,3
"60",2,5,3,5,2,2,6,4,1,1,6,4,6,4,5,6,3,3,6,2,4,4,6
