"","V1","V2","V3","V4"
"1",4,2,3,2
"2",3,4,3,5
"3",3,2,2,1
"4",3,1,2,5
"5",5,1,2,4
"6",2,2,3,5
"7",1,3,3,3
"8",5,3,3,3
"9",3,1,5,3
"10",4,4,5,4
"11",4,3,1,4
"12",1,4,4,1
"13",5,4,2,1
"14",4,5,1,3
"15",3,5,3,4
"16",5,2,5,5
"17",3,2,5,3
"18",3,5,2,2
"19",4,2,4,4
"20",2,4,1,4
"21",2,3,1,3
"22",1,1,5,4
"23",1,1,2,3
"24",5,4,4,2
"25",2,1,4,2
"26",2,1,1,1
"27",4,1,1,3
"28",2,4,5,2
"29",4,1,3,2
"30",2,4,2,2
"31",5,5,4,4
"32",1,3,4,5
"33",4,5,2,5
"34",1,2,5,1
"35",1,2,1,5
"36",2,5,5,5
"37",5,3,5,2
"38",1,5,4,3
"39",4,3,2,1
"40",4,1,4,5
"41",4,5,5,1
"42",3,3,1,1
"43",2,3,4,4
"44",5,5,3,3
"45",3,4,5,3
"46",5,4,1,5
"47",3,3,3,5
"48",5,1,4,1
"49",2,2,2,4
"50",2,5,3,1
"51",1,5,1,2
"52",1,2,3,2
"53",3,3,4,1
"54",5,2,1,2
"55",1,4,2,4
