"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1",1,3,3,3,3,2,2,2,3
"2",1,1,3,3,2,1,2,1,2
"3",2,3,1,2,1,3,1,3,3
"4",3,1,2,1,1,2,1,3,1
"5",3,2,3,2,2,3,1,1,3
"6",2,3,2,1,3,1,1,1,3
"7",3,2,3,3,1,3,3,2,2
"8",3,3,2,2,3,3,3,3,1
"9",2,1,3,2,3,3,2,3,3
"10",3,2,1,3,3,2,3,2,3
"11",3,3,2,1,2,1,2,2,3
"12",2,2,3,3,3,1,1,3,1
"13",2,1,1,1,1,2,2,1,3
"14",1,3,3,1,2,2,3,3,2
"15",2,1,3,2,1,2,2,2,1
"16",1,1,1,2,3,1,3,3,2
"17",2,1,1,3,2,3,3,1,1
"18",3,2,1,2,3,1,2,1,1
"19",1,2,3,1,1,1,1,2,2
"20",2,2,3,2,1,1,3,3,3
"21",1,1,2,2,2,2,1,1,1
"22",2,2,2,1,2,1,3,2,1
"23",1,2,2,3,1,3,2,3,1
"24",1,1,2,1,2,3,3,2,3
"25",1,3,1,2,1,1,3,2,1
"26",3,2,1,1,2,3,2,3,2
"27",1,2,2,2,1,2,3,1,3
"28",2,3,2,3,2,1,3,1,2
"29",1,2,1,3,2,2,1,3,3
"30",3,1,1,2,2,1,1,2,2
"31",3,3,3,3,2,2,1,2,1
"32",2,1,2,3,3,3,1,2,2
"33",1,2,1,1,3,3,1,2,1
"34",2,3,1,1,3,2,2,3,2
"35",1,3,2,2,3,3,2,1,2
"36",2,3,3,1,1,3,2,1,1
"37",3,1,2,3,1,1,2,3,3
"38",3,3,1,3,1,2,1,1,2
"39",3,1,3,1,3,2,3,1,2
