"","V1","V2","V3","V4"
"1",3,1,3,3
"2",2,3,3,2
"3",3,3,1,1
"4",3,2,2,3
"5",3,2,2,1
"6",1,2,2,1
"7",2,1,1,2
"8",1,3,3,3
"9",2,3,1,2
"10",2,2,3,1
"11",1,1,3,1
"12",3,2,1,2
"13",2,1,3,2
"14",3,1,3,1
"15",1,3,3,1
"16",1,3,1,1
"17",3,2,3,2
"18",1,1,2,2
"19",2,2,2,2
"20",3,1,1,3
"21",2,2,1,1
"22",1,2,2,3
"23",1,3,2,2
"24",1,2,3,2
"25",1,1,1,3
"26",3,3,1,3
"27",1,1,1,1
"28",2,2,3,3
"29",1,2,1,2
"30",1,3,1,3
"31",2,2,2,2
"32",1,1,3,3
"33",2,1,2,3
"34",2,2,1,3
"35",2,1,2,1
"36",3,1,1,1
"37",2,3,2,1
"38",3,1,2,2
"39",3,3,3,1
"40",3,3,3,3
"41",3,3,2,2
"42",2,3,2,3
