"","V1","V2","V3","V4"
"1",3,2,3,5
"2",3,2,4,1
"3",5,4,3,4
"4",2,3,1,1
"5",3,5,6,4
"6",5,3,1,5
"7",6,2,1,3
"8",3,4,1,2
"9",4,5,2,1
"10",1,4,4,5
"11",4,5,5,6
"12",2,6,4,4
"13",2,1,4,5
"14",1,2,2,2
"15",4,3,4,2
"16",6,4,6,2
"17",6,1,5,5
"18",2,6,5,1
"19",3,1,5,2
"20",6,5,4,1
"21",4,2,3,4
"22",4,6,5,3
"23",4,1,2,6
"24",2,5,1,6
"25",6,3,3,2
"26",6,5,2,4
"27",6,6,3,6
"28",2,5,3,3
"29",1,4,3,1
"30",1,5,6,2
"31",6,3,5,4
"32",4,4,1,5
"33",5,1,6,3
"34",1,3,5,3
"35",5,1,2,1
"36",5,2,4,6
"37",1,6,2,5
"38",3,4,5,6
"39",2,3,6,4
"40",3,3,2,6
"41",5,6,6,5
"42",2,1,3,3
"43",5,4,4,3
"44",4,2,6,1
"45",5,6,1,2
"46",1,1,1,4
"47",1,2,6,6
"48",3,6,2,3
