"","V1","V2","V3"
"1",3,3,4
"2",1,6,1
"3",4,6,6
"4",6,3,6
"5",6,2,5
"6",1,4,4
"7",6,6,6
"8",4,3,1
"9",4,5,3
"10",6,4,1
"11",2,2,5
"12",5,2,2
"13",5,2,3
"14",4,4,6
"15",1,5,5
"16",6,6,2
"17",6,3,3
"18",3,2,6
"19",2,5,2
"20",3,6,3
"21",1,6,3
"22",5,1,6
"23",2,5,5
"24",3,3,3
"25",3,5,2
"26",5,4,5
"27",5,5,5
"28",6,5,4
"29",2,2,1
"30",6,1,4
"31",6,1,1
"32",5,6,4
"33",1,3,1
"34",4,3,4
"35",2,6,4
"36",2,4,2
"37",1,1,6
"38",4,4,4
"39",6,4,3
"40",4,2,2
"41",5,2,5
"42",2,1,3
"43",3,6,5
"44",1,1,2
"45",2,5,6
"46",3,4,1
"47",1,2,4
"48",5,3,2
"49",5,5,1
"50",1,3,6
"51",2,3,5
"52",3,4,6
"53",4,1,3
"54",4,1,5
"55",1,4,3
"56",2,2,2
"57",5,5,2
"58",4,6,1
"59",3,1,1
"60",3,1,4
