"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",3,2,1,2,3,3,1,3,1,1
"2",3,1,3,2,2,2,3,1,1,1
"3",3,2,2,3,1,1,2,3,1,1
"4",3,1,3,3,1,3,2,2,2,2
"5",2,3,3,3,3,3,2,2,1,3
"6",1,1,1,2,1,3,2,1,1,2
"7",2,3,3,3,2,2,1,1,1,1
"8",2,1,2,1,2,3,3,2,3,3
"9",2,2,3,1,1,2,3,3,1,2
"10",1,3,1,3,2,2,2,3,1,2
"11",1,3,3,2,1,1,1,3,2,2
"12",3,3,3,2,2,3,3,3,2,3
"13",3,3,1,1,2,3,1,1,2,2
"14",1,2,2,3,2,3,3,2,2,1
"15",3,1,1,1,1,2,2,3,3,3
"16",2,3,2,1,1,3,2,3,3,1
"17",2,2,1,3,1,2,1,2,2,3
"18",1,2,3,1,3,3,2,1,3,1
"19",1,1,2,3,3,2,3,3,2,1
"20",2,1,2,1,1,1,1,1,2,1
"21",3,2,1,3,2,2,2,1,3,1
"22",1,1,1,2,2,1,1,2,3,1
"23",2,2,1,2,3,3,3,1,2,3
"24",3,3,2,2,1,2,3,1,3,2
"25",2,1,1,2,2,1,3,3,1,3
"26",2,1,3,3,2,3,1,3,3,2
"27",3,2,2,1,3,1,3,2,1,2
"28",2,3,1,3,3,1,3,2,3,2
"29",1,3,2,2,3,2,1,3,3,3
"30",1,3,1,1,1,2,3,2,2,1
"31",1,3,2,1,2,1,2,1,1,3
"32",2,1,2,2,3,2,2,1,3,2
"33",1,1,3,1,3,2,1,2,1,2
"34",3,1,2,3,3,1,1,1,2,3
"35",1,2,2,2,1,3,1,2,1,3
"36",2,2,1,1,3,1,2,3,2,2
"37",3,2,3,1,2,1,1,2,3,3
"38",3,3,3,2,3,1,2,2,2,1
"39",1,2,3,3,1,1,3,1,3,3
