"","V1","V2","V3","V4","V5"
"1",3,2,1,1,3
"2",3,1,2,1,1
"3",1,1,3,2,1
"4",2,2,2,2,2
"5",2,3,3,1,1
"6",2,2,3,1,3
"7",2,2,2,2,2
"8",3,2,2,3,1
"9",2,2,2,2,2
"10",3,2,3,3,1
"11",3,1,1,3,2
"12",2,1,1,3,3
"13",2,1,3,3,3
"14",3,3,1,2,1
"15",3,1,2,1,3
"16",1,1,3,1,2
"17",3,3,3,1,2
"18",1,2,1,1,1
"19",3,1,3,2,2
"20",1,1,1,2,3
"21",2,2,2,2,2
"22",1,3,3,3,2
"23",3,3,3,2,3
"24",1,3,2,2,1
"25",2,3,1,3,1
"26",1,3,1,2,3
"27",1,2,1,3,2
"28",2,1,1,1,1
"29",2,3,1,1,2
"30",3,3,2,3,3
"31",1,3,2,1,3
"32",1,2,3,3,3
"33",1,1,2,3,1
