"","V1","V2"
"1",5,3
"2",4,5
"3",3,5
"4",3,3
"5",1,4
"6",2,4
"7",1,1
"8",3,4
"9",5,5
"10",3,3
"11",5,1
"12",2,5
"13",3,2
"14",1,3
"15",2,4
"16",4,4
"17",2,5
"18",3,1
"19",5,4
"20",5,1
"21",4,5
"22",1,5
"23",2,1
"24",4,1
"25",1,4
"26",2,1
"27",1,3
"28",4,4
"29",4,2
"30",3,1
"31",2,4
"32",2,2
"33",5,3
"34",3,1
"35",2,2
"36",4,2
"37",5,2
"38",4,4
"39",1,1
"40",3,5
"41",3,3
"42",1,3
"43",5,5
"44",1,2
"45",5,4
"46",5,3
"47",1,2
"48",5,2
"49",4,3
"50",2,2
"51",1,5
"52",2,3
"53",4,1
"54",3,5
"55",4,2
