"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1",1,2,2,4,2,4,2,4,4
"2",3,1,1,2,3,3,1,3,4
"3",3,3,1,4,4,2,4,4,3
"4",4,1,3,3,1,2,4,3,1
"5",3,4,3,1,3,1,2,2,2
"6",2,2,1,2,1,1,2,4,2
"7",4,2,2,4,3,1,3,3,4
"8",3,3,3,1,2,1,1,4,4
"9",2,1,3,1,3,4,4,2,4
"10",1,2,3,3,3,3,4,4,3
"11",1,1,1,3,4,3,3,1,2
"12",4,2,1,2,1,2,3,1,4
"13",3,1,2,1,1,3,3,4,3
"14",1,3,4,4,3,1,3,2,1
"15",2,4,3,4,1,4,3,1,3
"16",2,2,3,2,4,4,1,3,1
"17",1,4,4,2,4,2,2,3,4
"18",2,4,2,3,4,4,1,2,3
"19",4,3,3,4,4,3,2,1,4
"20",2,3,4,3,1,3,2,3,4
"21",3,2,4,4,2,2,4,1,2
"22",1,3,2,2,1,3,4,2,2
"23",3,1,4,2,4,1,3,1,3
"24",4,4,4,1,2,3,4,3,3
"25",1,4,3,2,2,2,3,4,1
"26",3,4,2,2,3,4,4,1,1
"27",4,3,2,3,2,1,1,1,1
"28",1,1,3,3,1,1,1,2,3
"29",1,3,1,1,2,4,3,3,2
"30",4,4,1,3,3,3,2,4,1
"31",2,2,2,1,4,1,4,3,1
"32",1,3,1,1,3,2,1,1,3
"33",2,2,4,1,1,3,2,1,1
"34",3,1,1,4,2,4,2,2,1
"35",2,4,1,3,2,1,4,2,4
"36",2,1,4,4,3,2,1,4,2
"37",4,1,2,1,4,2,2,2,2
"38",3,4,2,4,1,2,1,3,2
"39",4,3,4,3,4,4,3,4,2
"40",4,2,4,2,2,4,1,2,3
